Rk,Team,Date,Unnamed: 3,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR
1,LAA,2025-06-13,@,BAL,"L, 0-2",8.0,6,2,2,0,2,3,1,6,0,0,0,32,9
2,ARI,2025-06-13,,SDP,"W, 5-1",9.0,6,1,0,1,0,2,0,5,0,0,0,33,8
3,ATL,2025-06-13,,COL,"W, 12-4",9.0,14,4,4,0,1,4,0,8,2,0,0,43,20
4,BAL,2025-06-13,,LAA,"W, 2-0",9.0,8,0,0,0,0,1,0,15,0,0,0,34,9
5,BOS,2025-06-13,,NYY,"W, 2-1 (10)",10.0,4,1,1,0,1,1,0,8,0,0,0,34,6
6,CHC,2025-06-13,,PIT,"L, 1-2 (10)",10.0,6,2,1,1,0,3,0,7,0,0,0,37,9
7,CHW,2025-06-13,@,TEX,"L, 1-3",8.0,7,3,3,0,1,4,0,3,1,0,0,34,12
8,CIN,2025-06-13,@,DET,"L, 5-11",8.0,16,11,11,0,4,5,1,5,1,0,0,45,22
9,CLE,2025-06-13,@,SEA,"L, 2-7",8.0,16,7,7,0,2,4,0,3,0,0,0,44,20
10,COL,2025-06-13,@,ATL,"L, 4-12",8.0,15,12,11,1,2,3,0,10,0,0,2,42,19
11,DET,2025-06-13,,CIN,"W, 11-5",9.0,12,5,5,0,2,3,0,10,0,0,1,43,16
12,MIA,2025-06-13,@,WSN,"W, 11-9",9.0,16,9,9,0,1,2,0,11,1,0,0,46,19
13,HOU,2025-06-13,,MIN,"W, 10-3",9.0,8,3,3,0,3,1,0,8,0,0,0,34,9
14,KCR,2025-06-13,,ATH,"L, 4-6",9.0,11,6,6,0,2,3,0,8,1,0,0,42,15
15,LAD,2025-06-13,,SFG,"L, 2-6",9.0,10,6,6,0,3,5,0,9,0,0,0,41,15
16,MIL,2025-06-13,,STL,"W, 3-2",9.0,7,2,2,0,0,2,0,11,1,0,1,37,10
17,MIN,2025-06-13,@,HOU,"L, 3-10",8.0,14,10,9,1,1,3,0,9,0,0,0,40,18
18,NYM,2025-06-13,,TBR,"L, 5-7",9.0,13,7,7,0,2,3,0,4,0,0,0,41,16
19,NYY,2025-06-13,@,BOS,"L, 1-2 (10)",9.2,6,2,1,1,0,6,1,9,0,0,1,40,12
20,ATH,2025-06-13,@,KCR,"W, 6-4",9.0,7,4,4,0,0,4,0,2,0,0,0,37,11
21,PHI,2025-06-13,,TOR,"W, 8-0",9.0,5,0,0,0,0,3,0,7,0,0,0,35,9
22,PIT,2025-06-13,@,CHC,"W, 2-1 (10)",10.0,8,1,1,0,0,3,0,7,0,0,0,39,11
23,SDP,2025-06-13,@,ARI,"L, 1-5",8.0,7,5,4,1,2,3,0,9,1,0,1,36,11
24,SEA,2025-06-13,,CLE,"W, 7-2",9.0,4,2,2,0,2,3,0,8,0,0,0,33,8
25,SFG,2025-06-13,@,LAD,"W, 6-2",9.0,2,2,2,0,1,4,0,5,0,0,1,32,6
26,STL,2025-06-13,@,MIL,"L, 2-3",8.0,5,3,3,0,0,1,0,8,0,0,0,30,6
27,TBR,2025-06-13,@,NYM,"W, 7-5",9.0,7,5,0,5,0,7,0,13,1,1,0,44,18
28,TEX,2025-06-13,,CHW,"W, 3-1",9.0,6,1,1,0,0,2,0,9,0,0,0,35,8
29,TOR,2025-06-13,@,PHI,"L, 0-8",8.0,10,8,8,0,1,5,0,10,0,0,0,38,15
30,WSN,2025-06-13,,MIA,"L, 9-11",9.0,17,11,11,0,2,5,0,6,0,0,0,46,22
31,BAL,2025-06-12,,DET,"L, 1-4",9.0,7,4,4,0,2,3,0,10,0,0,0,36,10
32,CHC,2025-06-12,,PIT,"W, 3-2",9.0,4,2,2,0,0,3,0,10,1,0,0,34,8
33,CHW,2025-06-12,@,HOU,"L, 3-4",8.0,10,4,4,0,1,2,0,6,0,0,0,35,12
34,COL,2025-06-12,,SFG,"W, 8-7",9.0,11,7,7,0,1,7,0,9,0,0,2,43,18
35,DET,2025-06-12,@,BAL,"W, 4-1",9.0,4,1,1,0,1,3,0,8,0,0,0,33,7
36,HOU,2025-06-12,,CHW,"W, 4-3",9.0,10,3,3,0,1,1,0,16,1,0,1,39,12
37,KCR,2025-06-12,,NYY,"L, 0-1",9.0,5,1,0,1,0,4,0,7,0,0,0,35,9
38,MIL,2025-06-12,,STL,"W, 6-0",9.0,3,0,0,0,0,4,0,7,1,0,1,32,8
39,MIN,2025-06-12,,TEX,"L, 3-16",9.0,16,16,16,0,6,9,0,5,1,1,0,53,26
40,NYM,2025-06-12,,WSN,"W, 4-3",9.0,7,3,2,1,0,2,0,6,0,0,0,35,9
41,NYY,2025-06-12,@,KCR,"W, 1-0",9.0,5,0,0,0,0,2,0,5,0,0,0,33,7
42,PIT,2025-06-12,@,CHC,"L, 2-3",8.0,4,3,3,0,2,1,0,9,0,0,0,29,5
43,SFG,2025-06-12,@,COL,"L, 7-8",8.2,10,8,6,2,1,6,0,8,0,0,0,43,16
44,STL,2025-06-12,@,MIL,"L, 0-6",8.0,12,6,6,0,1,1,0,4,0,0,0,34,13
45,TEX,2025-06-12,@,MIN,"W, 16-3",9.0,8,3,3,0,0,3,0,9,0,0,0,38,11
