date,away_team,home_team,away_pitcher,home_pitcher,away_pitcher_id,home_pitcher_id
2025-06-14,MIA,WSH,Cade Gibson,Trevor Williams,5273591,33305
2025-06-14,CIN,DET,Brady Singer,Jack Flaherty,41172,33837
2025-06-14,PIT,CHC,Mike Burrows,Matthew Boyd,4918155,34401
2025-06-14,LAA,BAL,Tyler Anderson,Tomoyuki Sugano,32151,4142423
2025-06-14,TOR,PHI,Bowden Francis,Cristopher Sanchez,4734325,42359
2025-06-14,CHW,TEX,Mike Vasil,Jacob deGrom,4414551,32796
2025-06-14,COL,ATL,Chase Dollander,Spencer Strider,4719068,4307825
2025-06-14,TB,NYM,Drew Rasmussen,Tylor Megill,42584,3332018
2025-06-14,MIN,HOU,Joe Ryan,Hunter Brown,42450,4717803
2025-06-14,ATH,KC,Jacob Lopez,Michael Lorenzen,42239,33252
2025-06-14,STL,MIL,Andre Pallante,Jose Quintana,4109034,32106
2025-06-14,NYY,BOS,Carlos Rodon,Hunter Dobbins,33696,4415836
2025-06-14,SD,ARI,Ryan Bergert,Zac Gallen,5196249,39910
2025-06-14,CLE,SEA,Tanner Bibee,George Kirby,4345278,42406
2025-06-14,SF,LAD,Landen Roupp,Clayton Kershaw,4345404,28963
2025-06-15,CIN,DET,Wade Miley,Sawyer Gipson-Long,,
2025-06-15,LAA,BAL,Yusei Kikuchi,Cade Povich,41415,5085743
2025-06-15,COL,ATL,Austin Gomber,Chris Sale,,30948
2025-06-15,MIA,WSH,Eury Perez,MacKenzie Gore,,39636
2025-06-15,NYY,BOS,Max Fried,Brayan Bello,32685,4720856
2025-06-15,TOR,PHI,Jose Berrios,Zack Wheeler,32811,31267
2025-06-15,TB,NYM,Shane Baz,Griffin Canning,39639,41065
2025-06-15,MIN,HOU,Simeon Woods Richardson,Brandon Walter,41383,4228724
2025-06-15,ATH,KC,Jeffrey Springs,Noah Cameron,35397,4417208
2025-06-15,STL,MIL,Miles Mikolas,Quinn Priester,32116,42449
2025-06-15,PIT,CHC,Mitch Keller,Colin Rea,33722,33950
2025-06-15,CHW,TEX,Aaron Civale,Undecided,40934,
2025-06-15,CLE,SEA,Luis Ortiz,Emerson Hancock,5101355,4297897
2025-06-15,SD,ARI,Nick Pivetta,Merrill Kelly,36071,32968
2025-06-15,SF,LAD,Kyle Harrison,Dustin May,4683375,40937
2025-06-16,PHI,MIA,Mick Abel,Sandy Alcantara,4718970,35241
2025-06-16,COL,WSH,Kyle Freeland,Jake Irvin,33839,41290
2025-06-16,LAA,NYY,Jose Soriano,Clarke Schmidt,40973,41085
2025-06-16,BAL,TB,Zach Eflin,Ryan Pepiot,32804,4208281
2025-06-16,BOS,SEA,Lucas Giolito,Undecided,32697,
2025-06-16,HOU,ATH,Lance McCullers Jr.,Mitch Spence,32764,4987645
2025-06-16,SD,LAD,Dylan Cease,Undecided,34943,
