date,away_team,home_team,away_pitcher,home_pitcher,away_pitcher_id,home_pitcher_id
2025-06-06,MIA,TB,Edward Cabrera,Zack Littell,40944,36052
2025-06-06,PHI,PIT,Joe Ross,Bailey Falter,32684,4705677
2025-06-06,TEX,WSH,Patrick Corbin,Michael Soroka,31313,34984
2025-06-06,BOS,NYY,Walker Buehler,Will Warren,39251,5132011
2025-06-06,ARI,CIN,Eduardo Rodriguez,Nick Lodolo,32675,42433
2025-06-06,CHC,DET,Ben Brown,Tarik Skubal,41516,42409
2025-06-06,HOU,CLE,Colton Gordon,Logan Allen,5133837,4683350
2025-06-06,KC,CHW,Seth Lugo,Davis Martin,34873,42823
2025-06-06,SD,MIL,Randy Vasquez,Chad Patrick,4722847,5131708
2025-06-06,TOR,MIN,Undecided,Bailey Ober,,3107919
2025-06-06,LAD,STL,Justin Wrobleski,Sonny Gray,4417203,32082
2025-06-06,NYM,COL,Kodai Senga,Antonio Senzatela,4142421,33750
2025-06-06,SEA,LAA,Bryce Miller,Kyle Hendricks,4654313,33173
2025-06-06,BAL,ATH,Dean Kremer,JP Sears,38295,39818
2025-06-06,ATL,SF,Spencer Schwellenbach,Hayden Birdsong,4424862,5197166
2025-06-07,CHC,DET,Jameson Taillon,Keider Montero,31258,5182933
2025-06-07,TOR,MIN,Kevin Gausman,Chris Paddack,32667,35999
2025-06-07,LAD,STL,Yoshinobu Yamamoto,Erick Fedde,4872587,33793
2025-06-07,PHI,PIT,Ranger Suarez,Andrew Heaney,39817,32672
2025-06-07,TEX,WSH,Jacob deGrom,Mitchell Parker,32796,4683356
2025-06-07,ATL,SF,Bryce Elder,Logan Webb,4301067,41216
2025-06-07,ARI,CIN,Ryne Nelson,Nick Martinez,4916269,33372
2025-06-07,HOU,CLE,Hunter Brown,Gavin Williams,4717803,4345076
2025-06-07,MIA,TB,Ryan Weathers,Taj Bradley,41178,42480
2025-06-07,KC,CHW,Michael Wacha,Adrian Houser,32640,32157
2025-06-07,BOS,NYY,Garrett Crochet,Ryan Yarbrough,4297835,33735
2025-06-07,SD,MIL,Stephen Kolek,Jose Quintana,5190073,32106
2025-06-07,SEA,LAA,Luis Castillo,Jack Kochanowicz,35124,4917819
2025-06-07,NYM,COL,Clay Holmes,Carson Palmquist,32827,4621424
2025-06-07,BAL,ATH,Charlie Morton,Luis Severino,29155,33263
2025-06-08,MIA,TB,Sandy Alcantara,Drew Rasmussen,35241,42584
2025-06-08,SD,MIL,Ryan Bergert,Aaron Civale,5196249,40934
2025-06-08,PHI,PIT,Cristopher Sanchez,Paul Skenes,42359,4719507
2025-06-08,TEX,WSH,Tyler Mahle,Trevor Williams,34973,33305
2025-06-08,ARI,CIN,Zac Gallen,Brady Singer,39910,41172
2025-06-08,CHC,DET,Cade Horton,Jack Flaherty,4692526,33837
2025-06-08,HOU,CLE,Lance McCullers Jr.,Tanner Bibee,32764,4345278
2025-06-08,KC,CHW,Kris Bubic,Shane Smith,41201,5201814
2025-06-08,TOR,MIN,Bowden Francis,Joe Ryan,4734325,42450
2025-06-08,LAD,STL,Dustin May,Undecided,40937,
2025-06-08,NYM,COL,Tylor Megill,German Marquez,3332018,34874
2025-06-08,ATL,SF,Spencer Strider,Landen Roupp,4307825,4345404
2025-06-08,BAL,ATH,Tomoyuki Sugano,Undecided,4142423,
2025-06-08,SEA,LAA,George Kirby,Tyler Anderson,42406,32151
2025-06-08,BOS,NYY,Hunter Dobbins,Carlos Rodon,4415836,33696
