Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,BAL,2025-06-12,,DET,"L, 1-4",33,30,1,4,3,0,0,1,1,0,0,3,8,.133,.212,.233,.445,7,1,0,0,0,0,2025-06-12
2,CHC,2025-06-12,,PIT,"W, 3-2",29,28,3,4,2,0,0,2,3,0,0,1,9,.143,.172,.357,.530,10,0,0,0,0,0,2025-06-12
3,CHW,2025-06-12,@,HOU,"L, 3-4",39,37,3,10,5,3,1,1,3,1,0,1,16,.270,.308,.486,.794,18,0,1,0,0,0,2025-06-12
4,COL,2025-06-12,,SFG,"W, 8-7",43,37,8,10,7,2,0,1,8,0,0,6,8,.270,.372,.405,.777,15,0,0,0,0,0,2025-06-12
5,DET,2025-06-12,@,BAL,"W, 4-1",36,33,4,7,4,1,0,2,4,1,0,3,10,.212,.278,.424,.702,14,1,0,0,0,0,2025-06-12
6,HOU,2025-06-12,,CHW,"W, 4-3",35,33,4,10,5,4,0,1,4,1,0,2,6,.303,.343,.515,.858,17,1,0,0,0,0,2025-06-12
7,KCR,2025-06-12,,NYY,"L, 0-1",33,31,0,5,4,0,1,0,0,0,0,2,5,.161,.212,.226,.438,7,1,0,0,0,0,2025-06-12
8,MIL,2025-06-12,,STL,"W, 6-0",34,33,6,12,9,1,1,1,6,0,0,1,4,.364,.382,.545,.928,18,2,0,0,0,0,2025-06-12
9,MIN,2025-06-12,,TEX,"L, 3-16",38,35,3,8,6,2,0,0,3,0,0,3,9,.229,.289,.286,.575,10,0,0,0,0,0,2025-06-12
10,NYM,2025-06-12,,WSN,"W, 4-3",36,30,4,7,3,2,0,2,4,2,1,5,6,.233,.361,.500,.861,15,1,1,0,0,0,2025-06-12
11,NYY,2025-06-12,@,KCR,"W, 1-0",35,30,1,5,4,1,0,0,0,0,0,4,7,.167,.265,.200,.465,6,0,0,1,0,0,2025-06-12
12,PIT,2025-06-12,@,CHC,"L, 2-3",34,30,2,4,3,1,0,0,2,0,1,3,10,.133,.235,.167,.402,5,0,1,0,0,0,2025-06-12
13,SFG,2025-06-12,@,COL,"L, 7-8",43,35,7,11,9,1,0,1,7,0,0,7,9,.314,.419,.429,.847,15,2,0,0,1,0,2025-06-12
14,STL,2025-06-12,@,MIL,"L, 0-6",32,27,0,3,3,0,0,0,0,0,0,4,7,.111,.250,.111,.361,3,2,1,0,0,0,2025-06-12
15,TEX,2025-06-12,@,MIN,"W, 16-3",53,43,16,16,9,1,0,6,16,1,0,9,5,.372,.491,.814,1.305,35,0,1,0,0,0,2025-06-12
16,WSN,2025-06-12,@,NYM,"L, 3-4",35,33,3,7,7,0,0,0,2,0,0,2,6,.212,.257,.212,.469,7,1,0,0,0,0,2025-06-12
17,LAA,2025-06-11,,ATH,"W, 6-5",35,31,6,9,8,0,0,1,6,0,0,2,12,.290,.343,.387,.730,12,1,1,0,1,0,2025-06-11
18,ARI,2025-06-11,,SEA,"W, 5-2",35,33,5,10,7,1,0,2,5,0,0,1,5,.303,.324,.515,.839,17,0,0,1,0,0,2025-06-11
19,ATL,2025-06-11,@,MIL,"W, 6-2",41,37,6,10,8,0,0,2,6,0,0,4,12,.270,.341,.432,.774,16,1,0,0,0,0,2025-06-11
20,BAL,2025-06-11,,DET,"W, 10-1",42,38,10,16,10,4,0,2,9,3,0,4,10,.421,.476,.684,1.160,26,1,0,0,0,0,2025-06-11
21,BOS,2025-06-11,,TBR,"W, 4-3",34,33,4,9,2,3,0,4,4,1,0,0,8,.273,.294,.727,1.021,24,0,1,0,0,0,2025-06-11
22,CHC,2025-06-11,@,PHI,"L, 2-7",36,35,2,8,5,3,0,0,2,0,0,1,11,.229,.250,.314,.564,11,0,0,0,0,0,2025-06-11
23,CHW,2025-06-11,@,HOU,"L, 2-10",35,34,2,8,6,2,0,0,2,0,0,1,12,.235,.257,.294,.551,10,1,0,0,0,0,2025-06-11
24,CIN,2025-06-11,@,CLE,"L, 2-11",34,31,2,5,3,0,0,2,2,0,0,2,7,.161,.235,.355,.590,11,1,1,0,0,0,2025-06-11
