Rk,Team,Date,Unnamed: 3,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR
1,LAA,2025-06-03,@,BOS,"W, 4-3 (10)",10.0,10,3,3,0,1,7,1,10,0,0,0,43,17
2,ARI,2025-06-03,@,ATL,"W, 8-3",9.0,6,3,1,2,1,1,0,5,0,0,0,35,8
3,ATL,2025-06-03,,ARI,"L, 3-8",9.0,11,8,8,0,4,4,0,7,0,1,0,39,15
4,BAL,2025-06-03,@,SEA,"W, 5-1",9.0,7,1,1,0,1,1,0,8,0,0,0,33,8
5,BOS,2025-06-03,,LAA,"L, 3-4 (10)",10.0,8,4,3,1,0,3,0,6,1,0,0,41,12
6,CHC,2025-06-03,@,WSN,"W, 8-3",9.0,8,3,3,0,0,1,0,4,0,0,0,34,9
7,CHW,2025-06-03,,DET,"W, 8-1",9.0,7,1,1,0,0,4,0,10,0,0,0,37,11
8,CIN,2025-06-03,,MIL,"W, 4-2",9.0,5,2,2,0,1,3,0,9,0,0,0,36,9
9,CLE,2025-06-03,@,NYY,"L, 2-3",8.0,5,3,3,0,2,3,0,6,0,0,0,32,9
10,COL,2025-06-03,@,MIA,"W, 3-2",9.0,6,2,2,0,0,4,0,3,0,0,0,36,10
11,DET,2025-06-03,@,CHW,"L, 1-8",8.0,10,8,7,1,1,6,0,9,0,0,0,39,16
12,MIA,2025-06-03,,COL,"L, 2-3",9.0,7,3,3,0,1,1,0,5,1,0,0,37,10
13,HOU,2025-06-03,@,PIT,"W, 3-0",9.0,4,0,0,0,0,1,0,9,1,0,0,32,6
14,KCR,2025-06-03,@,STL,"W, 10-7",9.0,12,7,7,0,2,5,0,8,0,0,1,44,17
15,LAD,2025-06-03,,NYM,"W, 6-5 (10)",10.0,8,5,3,2,1,3,0,6,0,0,1,41,11
16,MIL,2025-06-03,@,CIN,"L, 2-4",8.0,8,4,4,0,2,5,1,10,0,0,0,36,13
17,MIN,2025-06-03,@,ATH,"W, 10-3",9.0,7,3,3,0,0,4,0,10,0,0,0,37,11
18,NYM,2025-06-03,@,LAD,"L, 5-6 (10)",9.1,7,6,5,1,2,4,1,12,0,0,0,39,11
19,NYY,2025-06-03,,CLE,"W, 3-2",9.0,7,2,2,0,0,2,0,9,0,0,0,35,9
20,ATH,2025-06-03,,MIN,"L, 3-10",9.0,12,10,10,0,3,5,0,14,2,0,1,46,19
21,PHI,2025-06-03,@,TOR,"W, 8-3",9.0,5,3,3,0,2,6,0,7,0,0,0,37,11
22,PIT,2025-06-03,,HOU,"L, 0-3",9.0,5,3,3,0,2,1,0,8,0,0,0,33,7
23,SDP,2025-06-03,@,SFG,"W, 3-2 (10)",10.0,6,2,2,0,1,3,0,4,0,0,0,38,10
24,SEA,2025-06-03,,BAL,"L, 1-5",9.0,13,5,5,0,1,2,0,4,0,0,0,39,15
25,SFG,2025-06-03,,SDP,"L, 2-3 (10)",10.0,10,3,2,1,0,6,0,8,1,0,1,45,17
26,STL,2025-06-03,,KCR,"L, 7-10",9.0,13,10,10,0,2,2,0,5,0,0,0,42,15
27,TBR,2025-06-03,,TEX,"W, 5-1",9.0,4,1,1,0,0,1,0,12,0,0,0,32,5
28,TEX,2025-06-03,@,TBR,"L, 1-5",8.0,8,5,5,0,2,2,0,9,0,0,1,34,10
29,TOR,2025-06-03,,PHI,"L, 3-8",9.0,11,8,7,1,3,4,0,10,1,0,0,43,16
30,WSN,2025-06-03,,CHC,"L, 3-8",9.0,9,8,8,0,1,5,0,9,0,0,0,42,14
31,LAA,2025-06-02,@,BOS,"W, 7-6",9.0,11,6,6,0,1,3,0,10,0,0,1,41,14
32,BOS,2025-06-02,,LAA,"L, 6-7",9.0,8,7,6,1,4,3,0,5,0,0,0,38,13
33,CHW,2025-06-02,,DET,"L, 1-13",9.0,16,13,13,0,5,4,0,7,0,0,0,46,20
