date,away_team,home_team,away_pitcher,home_pitcher,away_pitcher_id,home_pitcher_id
2025-06-04,HOU,PIT,Ryan Gusto,Mike Burrows,5131986,4918155
2025-06-04,CHC,WSH,Matthew Boyd,MacKenzie Gore,34401,39636
2025-06-04,CLE,NYY,Luis Ortiz,Clarke Schmidt,5101355,41085
2025-06-04,PHI,TOR,Mick Abel,Jose Berrios,4718970,32811
2025-06-04,ARI,ATL,Merrill Kelly,Chris Sale,32968,30948
2025-06-04,TEX,TB,Kumar Rocker,Shane Baz,4414525,39639
2025-06-04,DET,CHW,Sawyer Gipson-Long,Jared Shuster,,4623366
2025-06-04,BAL,SEA,Cade Povich,Emerson Hancock,5085743,4297897
2025-06-04,SD,SF,Nick Pivetta,Kyle Harrison,36071,4683375
2025-06-04,MIN,ATH,Zebby Matthews,Justin Sterner,4791597,4307467
2025-06-04,NYM,LAD,Griffin Canning,Tony Gonsolin,41065,38958
2025-06-05,ARI,ATL,Brandon Pfaadt,Grant Holmes,4721302,33840
2025-06-05,DET,CHW,Casey Mize,Sean Burke,41167,4867679
2025-06-05,PHI,TOR,Jesus Luzardo,Chris Bassitt,39667,33148
2025-06-05,MIN,ATH,Bailey Ober,Undecided,3107919,
2025-06-05,BAL,SEA,Zach Eflin,Bryan Woo,32804,4629089
2025-06-05,SD,SF,Dylan Cease,Robbie Ray,34943,32175
2025-06-05,NYM,LAD,David Peterson,Landon Knack,40921,4417826
2025-06-05,HOU,PIT,Framber Valdez,Mitch Keller,36581,33722
2025-06-05,CHC,WSH,Colin Rea,Jake Irvin,33950,41290
2025-06-05,CLE,NYY,Slade Cecconi,Max Fried,41462,32685
2025-06-05,TEX,TB,Jack Leiter,Ryan Pepiot,4622181,4208281
2025-06-05,KC,STL,Cole Ragans,Matthew Liberatore,41054,41173
2025-06-06,MIA,TB,Edward Cabrera,Zack Littell,40944,36052
2025-06-06,PHI,PIT,Undecided,Bailey Falter,,4705677
2025-06-06,TEX,WSH,Patrick Corbin,Michael Soroka,31313,34984
2025-06-06,BOS,NYY,Walker Buehler,Will Warren,39251,5132011
2025-06-06,ARI,CIN,Undecided,Nick Lodolo,,42433
2025-06-06,CHC,DET,Undecided,Tarik Skubal,,42409
2025-06-06,HOU,CLE,Colton Gordon,Undecided,5133837,
2025-06-06,KC,CHW,Seth Lugo,Davis Martin,34873,42823
2025-06-06,SD,MIL,Randy Vasquez,Chad Patrick,4722847,5131708
2025-06-06,TOR,MIN,Kevin Gausman,Chris Paddack,32667,35999
2025-06-06,LAD,STL,Undecided,Sonny Gray,,32082
2025-06-06,NYM,COL,Kodai Senga,Antonio Senzatela,4142421,33750
2025-06-06,SEA,LAA,Bryce Miller,Kyle Hendricks,4654313,33173
2025-06-06,BAL,ATH,Dean Kremer,JP Sears,38295,39818
2025-06-06,ATL,SF,Spencer Schwellenbach,Hayden Birdsong,4424862,5197166
