Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,LAA,2025-06-04,@,BOS,"L, 9-11",42,37,9,12,5,5,1,1,9,0,0,4,8,.324,.381,.595,.976,22,1,0,0,1,0
2,ARI,2025-06-04,@,ATL,"W, 2-1",39,31,2,5,4,1,0,0,2,0,1,7,12,.161,.333,.194,.527,6,0,1,0,0,0
3,ATL,2025-06-04,,ARI,"L, 1-2",36,30,1,3,3,0,0,0,1,1,0,5,13,.100,.250,.100,.350,3,0,1,0,0,1
4,BAL,2025-06-04,@,SEA,"W, 3-2",34,29,3,4,2,0,1,1,3,0,0,5,9,.138,.265,.310,.575,9,2,0,0,0,0
5,BOS,2025-06-04,,LAA,"W, 11-9",43,34,11,12,10,1,0,1,11,0,0,5,6,.353,.442,.471,.912,16,2,2,0,2,0
6,CHC,2025-06-04,@,WSN,"L, 0-2",35,32,0,5,5,0,0,0,0,1,0,2,8,.156,.229,.156,.385,5,0,1,0,0,0
7,CHW,2025-06-04,,DET,"L, 4-5",35,31,4,7,4,3,0,0,4,0,1,2,7,.226,.257,.323,.580,10,1,0,0,2,0
8,CIN,2025-06-04,,MIL,"L, 1-9",35,30,1,4,2,2,0,0,1,2,1,5,7,.133,.257,.200,.457,6,0,0,0,0,0
9,CLE,2025-06-04,@,NYY,"W, 4-0",39,38,4,12,7,3,0,2,4,1,0,1,12,.316,.333,.553,.886,21,1,0,0,0,0
10,COL,2025-06-04,@,MIA,"W, 3-2",33,31,3,6,1,4,1,0,3,0,0,1,8,.194,.212,.387,.599,12,1,0,0,1,0
11,DET,2025-06-04,@,CHW,"W, 5-4",41,37,5,10,5,5,0,0,5,0,0,3,7,.270,.341,.405,.747,15,0,1,0,0,0
12,MIA,2025-06-04,,COL,"L, 2-3",31,30,2,5,3,2,0,0,2,1,0,0,6,.167,.194,.233,.427,7,1,1,0,0,0
13,HOU,2025-06-04,@,PIT,"L, 0-3",34,33,0,7,5,2,0,0,0,0,0,1,12,.212,.235,.273,.508,9,1,0,0,0,0
14,LAD,2025-06-04,,NYM,"L, 1-6",35,33,1,6,4,1,0,1,1,0,0,1,10,.182,.229,.303,.532,10,0,1,0,0,0
15,MIL,2025-06-04,@,CIN,"W, 9-1",43,39,9,13,9,1,0,3,9,1,0,2,7,.333,.366,.590,.956,23,0,0,1,0,0
16,MIN,2025-06-04,@,ATH,"W, 6-1",39,35,6,8,6,0,0,2,5,1,0,4,9,.229,.308,.400,.708,14,0,0,0,0,0
17,NYM,2025-06-04,@,LAD,"W, 6-1",37,31,6,4,2,0,0,2,6,1,0,4,7,.129,.270,.323,.593,10,1,2,0,0,0
18,NYY,2025-06-04,,CLE,"L, 0-4",33,30,0,5,4,1,0,0,0,0,0,3,10,.167,.242,.200,.442,6,3,0,0,0,0
19,ATH,2025-06-04,,MIN,"L, 1-6",35,31,1,5,3,2,0,0,1,0,0,4,14,.161,.257,.226,.483,7,1,0,0,0,0
