Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Bryan Abreu,2025-06-20,28-059,HOU,@,LAA,"W, 3-2 (10)",8-8,1.0,2,0,0,0,0,0,0,2,1,0,0,6,3,P
2,Jason Adam,2025-06-20,33-320,SDP,,KCR,"L, 5-6","8-8, L",1.0,3,2,2,0,0,1,0,3,0,0,0,7,4,P
3,Keegan Akin,2025-06-20,30-080,BAL,@,NYY,"W, 5-3",4-5,1.1,1,0,0,0,0,2,0,0,0,0,0,5,3,P
4,Tyler Alexander,2025-06-20,30-341,CHW,@,TOR,"W, 7-1","2-5, W",4.0,4,0,0,0,0,0,0,2,0,0,0,14,4,P
5,Dan Altavilla,2025-06-20,32-285,CHW,@,TOR,"W, 7-1",6-6,1.0,1,0,0,0,0,0,0,0,0,0,0,4,1,P
6,Braxton Ashcraft,2025-06-20,25-258,PIT,,TEX,"L, 2-6",5-7,2.0,4,1,1,0,0,1,0,2,0,0,0,11,5,P
7,Kyle Backhus,2025-06-20,27-140,ARI,@,COL,"W, 14-8",8-8,1.0,2,1,1,0,0,0,0,1,0,0,0,5,2,P
8,Tanner Banks,2025-06-20,33-239,PHI,,NYM,"W, 10-2","6-7, W",1.2,0,0,0,0,0,0,0,1,0,0,0,5,0,P
9,Scott Barlow,2025-06-20,32-184,CIN,@,STL,"L, 1-6",7-7,0.1,0,2,2,0,0,1,0,0,1,0,0,3,2,P
10,Jake Bauers,2025-06-20,29-257,MIL,@,MIN,"W, 17-6",9-GF,1.0,4,4,2,2,0,2,0,1,0,0,0,10,7,PH P
11,Félix Bautista,2025-06-20,30-000,BAL,@,NYY,"W, 5-3","9-GF, S",1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
12,Shane Baz,2025-06-20,26-003,TBR,,DET,"W, 14-8","GS-6, W",5.1,4,5,5,0,1,4,0,6,0,0,0,24,8,P
13,Eduard Bazardo,2025-06-20,29-292,SEA,@,CHC,"W, 9-4","6-6, W",1.0,1,0,0,0,0,0,0,0,0,0,0,3,1,P
14,Jalen Beeks,2025-06-20,31-345,ARI,@,COL,"W, 14-8",7-7,1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
15,Brennan Bernardino,2025-06-20,33-156,BOS,@,SFG,"W, 7-5","5-5, W",1.0,1,0,0,0,0,0,0,0,0,0,0,3,1,P
16,Tanner Bibee,2025-06-20,26-107,CLE,@,ATH,"L, 1-5","CG(8), L",8.0,11,5,4,1,1,0,0,10,0,0,0,35,12,P
17,Hayden Birdsong,2025-06-20,23-294,SFG,,BOS,"L, 5-7",GS-5,4.1,7,5,4,1,1,1,0,4,0,0,0,22,9,P
18,Spencer Bivens,2025-06-20,30-357,SFG,,BOS,"L, 5-7",9-GF,1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
19,Scott Blewett,2025-06-20,29-071,BAL,@,NYY,"W, 5-3","7-8, W",2.0,0,0,0,0,0,0,0,2,0,0,0,6,0,P
20,Ryan Borucki,2025-06-20,31-081,PIT,,TEX,"L, 2-6",9-9,0.1,1,1,1,0,0,2,0,0,0,0,0,4,3,P
21,Matthew Boyd,2025-06-20,34-138,CHC,,SEA,"L, 4-9",GS-5,5.0,2,2,2,0,1,2,0,6,0,0,0,19,4,P
22,Matt Brash,2025-06-20,27-039,SEA,@,CHC,"W, 9-4","8-8, H",1.0,0,0,0,0,0,1,0,0,0,0,0,4,1,P
23,Ryan Brasier,2025-06-20,37-298,CHC,,SEA,"L, 4-9",7-8,1.1,1,0,0,0,0,0,0,2,0,0,0,5,1,P
24,Jonah Bride,2025-06-20,29-175,MIN,,MIL,"L, 6-17",9-GF,1.0,5,5,5,0,0,1,0,1,0,0,0,9,6,P
25,Hunter Brown,2025-06-20,26-295,HOU,@,LAA,"W, 3-2 (10)",GS-5,5.0,2,1,1,0,1,2,0,4,1,0,0,20,5,P
26,Aaron Bummer,2025-06-20,31-272,ATL,@,MIA,"L, 2-6",6-7,1.1,1,2,2,0,0,3,0,0,0,0,0,7,4,P
27,Mike Burrows,2025-06-20,25-224,PIT,,TEX,"L, 2-6","GS-5, L",4.2,7,4,4,0,2,1,0,4,1,0,1,23,9,P
28,José Buttó,2025-06-20,27-093,NYM,@,PHI,"L, 2-10",5-6,2.0,0,0,0,0,0,0,0,3,0,0,0,6,0,P
29,Génesis Cabrera,2025-06-20,28-253,CHC,,SEA,"L, 4-9",9-GF,1.0,4,3,3,0,1,0,0,1,0,0,0,7,4,P
30,Yennier Cano,2025-06-20,31-103,BAL,@,NYY,"W, 5-3",6-6,1.0,2,0,0,0,0,0,0,1,0,0,0,5,2,P
31,José Castillo,2025-06-20,29-161,NYM,@,PHI,"L, 2-10",4-5,0.1,2,0,0,0,0,0,0,0,0,0,0,3,2,P
