Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Ty Adcock,2025-06-18,28-131,NYM,@,ATL,"L, 0-5",7-7,1.0,1,1,1,0,1,0,0,1,0,0,0,4,1,P
2,Logan Allen,2025-06-18,26-286,CLE,@,SFG,"W, 4-2","GS-6, W",5.1,4,2,2,0,1,2,0,4,0,0,0,21,6,P
3,Shawn Armstrong,2025-06-18,34-280,TEX,,KCR,"L, 3-6",6-6,1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
4,Lake Bachar,2025-06-18,30-015,MIA,,PHI,"L, 2-4",6-8,2.1,2,0,0,0,0,2,0,3,0,0,0,10,4,P
5,Bryan Baker,2025-06-18,30-198,BAL,@,TBR,"L, 8-12",8-GF(8),1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
6,Eduard Bazardo,2025-06-18,29-290,SEA,,BOS,"L, 1-3",9-GF,1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
7,Jake Bird,2025-06-18,29-196,COL,@,WSN,"W, 3-1","6-6, H",0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,P
8,Spencer Bivens,2025-06-18,30-355,SFG,,CLE,"L, 2-4",5-6,1.1,0,0,0,0,0,0,0,1,0,0,0,4,0,P
9,Paul Blackburn,2025-06-18,31-196,NYM,@,ATL,"L, 0-5","GS-4, L",3.2,4,4,3,1,1,2,0,2,0,0,0,17,6,P
10,Scott Blewett,2025-06-18,29-069,BAL,@,TBR,"L, 8-12",3-4,1.2,3,1,1,0,0,0,0,0,0,0,0,8,3,P
11,Taj Bradley,2025-06-18,24-090,TBR,,BAL,"W, 12-8",GS-2,1.1,6,7,6,1,2,1,0,2,0,0,0,12,8,P
12,Connor Brogdon,2025-06-18,30-140,LAA,@,NYY,"W, 3-2","8-8, H",0.2,0,0,0,0,0,0,0,0,0,0,0,2,0,P
13,Justin Bruihl,2025-06-18,27-357,TOR,,ARI,"W, 8-1",8-8,1.0,1,0,0,0,0,0,0,2,1,0,0,5,2,P
14,Kris Bubic,2025-06-18,27-303,KCR,@,TEX,"W, 6-3","GS-6, W",5.1,9,3,3,0,0,1,0,6,1,0,0,26,11,P
15,Brock Burke,2025-06-18,28-318,LAA,@,NYY,"W, 3-2",6-7,1.0,1,0,0,0,0,0,0,0,0,0,0,3,1,P
16,José Buttó,2025-06-18,27-091,NYM,@,ATL,"L, 0-5",4-5,1.1,1,0,0,0,0,1,0,0,0,0,1,6,2,P
17,Yennier Cano,2025-06-18,31-101,BAL,@,TBR,"L, 8-12",5-5,0.2,4,4,4,0,1,1,0,0,0,0,0,7,5,P
18,José Castillo,2025-06-18,29-159,NYM,@,ATL,"L, 0-5",6-6,1.0,1,0,0,0,0,1,0,2,0,0,1,5,2,P
19,Luis Castillo,2025-06-18,32-188,SEA,,BOS,"L, 1-3","GS-6, L",6.0,3,3,3,0,2,2,0,5,1,0,0,24,6,P
20,Aroldis Chapman,2025-06-18,37-110,BOS,@,SEA,"W, 3-1","8-8, H",1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
21,Emmanuel Clase,2025-06-18,27-092,CLE,@,SFG,"W, 4-2","9-GF, S",1.0,1,0,0,0,0,0,0,1,0,0,0,4,1,P
22,Garrett Cleavinger,2025-06-18,31-056,TBR,,BAL,"W, 12-8",5-6,2.0,0,0,0,0,0,0,0,1,1,0,0,7,1,P
23,Patrick Corbin,2025-06-18,35-334,TEX,,KCR,"L, 3-6","GS-5, L",5.0,6,4,4,0,1,2,0,4,0,0,0,22,8,P
24,Garrett Crochet,2025-06-18,25-362,BOS,@,SEA,"W, 3-1","GS-6, W",6.0,6,1,1,0,0,0,0,8,0,0,2,24,6,P
25,Steven Cruz,2025-06-18,26-003,KCR,@,TEX,"W, 6-3","8-8, H",1.0,1,0,0,0,0,0,0,1,0,0,0,4,1,P
26,Fernando Cruz,2025-06-18,35-082,NYY,,LAA,"L, 2-3","7-8, L",1.0,0,1,1,0,0,3,0,2,0,0,1,6,3,P
27,Yerry De los Santos,2025-06-18,27-188,NYY,,LAA,"L, 2-3",6-6,0.1,1,0,0,0,0,1,0,0,0,0,0,3,2,P
28,Seranthony Domínguez,2025-06-18,30-205,BAL,@,TBR,"L, 8-12",5-6,1.1,2,0,0,0,0,0,0,0,0,0,0,4,2,P
29,Camilo Doval,2025-06-18,27-349,SFG,,CLE,"L, 2-4",9-GF,1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
30,Shawn Dubin,2025-06-18,29-285,HOU,@,ATH,"W, 11-4",7-8,2.0,0,0,0,0,0,0,0,3,0,0,0,6,0,P
