Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-08,,SEA,"L, 2-3",30,29,2,2,1,0,0,1,2,0,0,1,18,.069,.100,.172,.272,5,0,0,0,0,0,2025-06-08
2,ARI,2025-06-08,@,CIN,"L, 2-4",33,29,2,5,4,0,0,1,2,0,0,3,8,.172,.250,.276,.526,8,2,0,1,0,0,2025-06-08
3,ATL,2025-06-08,@,SFG,"L, 3-4",36,33,3,6,4,2,0,0,3,0,0,2,8,.182,.250,.242,.492,8,0,1,0,0,0,2025-06-08
4,BAL,2025-06-08,@,ATH,"L, 1-5",36,34,1,8,7,1,0,0,0,2,0,2,9,.235,.278,.265,.542,9,0,0,0,0,0,2025-06-08
5,BOS,2025-06-08,@,NYY,"W, 11-7",44,38,11,12,5,2,0,5,11,0,1,5,9,.316,.409,.763,1.172,29,0,1,0,0,0,2025-06-08
6,CHC,2025-06-08,@,DET,"L, 0-4",33,30,0,4,3,1,0,0,0,0,0,3,12,.133,.212,.167,.379,5,0,0,0,0,0,2025-06-08
7,CHW,2025-06-08,,KCR,"L, 5-7",36,31,5,4,3,0,0,1,5,0,0,5,11,.129,.250,.226,.476,7,0,0,0,0,0,2025-06-08
8,CIN,2025-06-08,,ARI,"W, 4-2",31,28,4,6,3,0,0,3,4,0,1,3,6,.214,.290,.536,.826,15,1,0,0,0,0,2025-06-08
9,CLE,2025-06-08,,HOU,"W, 4-2",35,32,4,9,6,2,0,1,3,3,0,1,7,.281,.294,.438,.732,14,0,0,1,1,1,2025-06-08
10,COL,2025-06-08,,NYM,"L, 5-13",41,36,5,10,4,5,1,0,5,0,0,4,8,.278,.366,.472,.838,17,1,1,0,0,0,2025-06-08
11,DET,2025-06-08,,CHC,"W, 4-0",36,34,4,10,7,3,0,0,4,0,0,2,8,.294,.333,.382,.716,13,0,0,0,0,0,2025-06-08
12,MIA,2025-06-08,@,TBR,"L, 2-3",34,33,2,7,7,0,0,0,2,1,1,1,7,.212,.235,.212,.447,7,0,0,0,0,0,2025-06-08
13,HOU,2025-06-08,@,CLE,"L, 2-4",34,34,2,7,6,1,0,0,2,3,0,0,9,.206,.206,.235,.441,8,0,0,0,0,0,2025-06-08
14,KCR,2025-06-08,@,CHW,"W, 7-5",41,37,7,16,11,3,0,2,7,2,0,3,5,.432,.475,.676,1.151,25,4,0,1,0,0,2025-06-08
15,LAD,2025-06-08,@,STL,"W, 7-3",42,36,7,10,5,2,2,1,6,0,0,3,8,.278,.357,.528,.885,19,0,2,0,1,0,2025-06-08
16,MIL,2025-06-08,,SDP,"L, 0-1",37,30,0,4,4,0,0,0,0,1,0,6,9,.133,.297,.133,.431,4,0,1,0,0,0,2025-06-08
17,MIN,2025-06-08,,TOR,"W, 6-3",43,34,6,12,9,1,0,2,6,0,0,8,7,.353,.465,.559,1.024,19,0,0,0,1,0,2025-06-08
18,NYM,2025-06-08,@,COL,"W, 13-5",49,43,13,17,9,2,0,6,13,2,0,6,10,.395,.469,.860,1.330,37,1,0,0,0,0,2025-06-08
19,NYY,2025-06-08,,BOS,"L, 7-11",42,35,7,10,6,1,0,3,7,0,0,6,6,.286,.381,.571,.952,20,1,0,0,1,0,2025-06-08
20,ATH,2025-06-08,,BAL,"W, 5-1",35,34,5,9,6,2,0,1,5,0,0,1,5,.265,.286,.412,.697,14,1,0,0,0,0,2025-06-08
21,PHI,2025-06-08,@,PIT,"L, 1-2",31,28,1,3,1,2,0,0,0,0,1,3,7,.107,.194,.179,.372,5,1,0,0,0,1,2025-06-08
22,PIT,2025-06-08,,PHI,"W, 2-1",34,30,2,7,6,1,0,0,2,1,1,3,12,.233,.324,.267,.590,8,0,1,0,0,0,2025-06-08
23,SDP,2025-06-08,@,MIL,"W, 1-0",31,28,1,3,2,0,0,1,1,0,0,2,6,.107,.167,.214,.381,6,1,0,1,0,0,2025-06-08
24,SEA,2025-06-08,@,LAA,"W, 3-2",41,39,3,11,8,3,0,0,3,1,0,1,11,.282,.317,.359,.676,14,0,1,0,0,0,2025-06-08
25,SFG,2025-06-08,,ATL,"W, 4-3",31,26,4,3,1,2,0,0,3,2,0,3,6,.115,.226,.192,.418,5,0,1,0,1,0,2025-06-08
