PlayerID,Pitcher,FullName,CleanName
36093,J. Herget,JimmyHerget,jimmyherget
33123,S. Alexander,ScottAlexander,scottalexander
5204400,S. Halvorsen,SethHalvorsen,sethhalvorsen
36052,Z. Littell,ZackLittell,zacklittell
36429,G. Cleavinger,GarrettCleavinger,garrettcleavinger
42363,M. Rodriguez,ManuelRodriguez,manuelrodriguez
5001153,K. Kelly,KevinKelly,kevinkelly
4705677,B. Falter,BaileyFalter,baileyfalter
41310,J. Lawrence,JustinLawrence,justinlawrence
39801,D. Santana,DennisSantana,dennissantana
4917897,C. Holderman,ColinHolderman,colinholderman
40927,J. Wentz,JoeyWentz,joeywentz
35773,T. Mayza,TimMayza,timmayza
5216700,V. Bellozo,ValenteBellozo,valentebellozo
4905923,R. Henriquez,RonnyHenriquez,ronnyhenriquez
42171,A. Bender,AnthonyBender,anthonybender
3978173,C. Faucher,CalvinFaucher,calvinfaucher
42592,L. Bachar,LakeBachar,lakebachar
4917836,G. Soriano,GeorgeSoriano,georgesoriano
6341,J. Verlander,JustinVerlander,justinverlander
5136077,S. Bivens,SpencerBivens,spencerbivens
4919929,R. Rodriguez,RandyRodriguez,randyrodriguez
35844,L. Trivino,LouTrivino,loutrivino
42433,N. Lodolo,NickLodolo,nicklodolo
40950,T. Santillan,TonySantillan,tonysantillan
4084179,G. Ashcraft,GrahamAshcraft,grahamashcraft
33403,E. Pagan,EmilioPagan,emiliopagan
4345076,G. Williams,GavinWilliams,gavinwilliams
4987924,C. Smith,CadeSmith,cadesmith
35009,P. Sewald,PaulSewald,paulsewald
4187661,H. Gaddis,HunterGaddis,huntergaddis
36056,J. Junis,JakobJunis,jakobjunis
34873,S. Lugo,SethLugo,sethlugo
41227,D. Lynch IV,DanielLynch IV,daniellynchiv
36618,L. Erceg,LucasErceg,lucaserceg
34861,C. Estevez,CarlosEstevez,carlosestevez
39251,W. Buehler,WalkerBuehler,walkerbuehler
31026,J. Wilson,JustinWilson,justinwilson
41569,Z. Kelly,ZackKelly,zackkelly
34973,T. Mahle,TylerMahle,tylermahle
42966,G. Garabito,GersonGarabito,gersongarabito
5125167,R. Garcia,RobertGarcia,robertgarcia
32903,C. Martin,ChrisMartin,chrismartin
41065,G. Canning,GriffinCanning,griffincanning
4905900,J. Butto,JoseButto,josebutto
4684369,M. Kranick,MaxKranick,maxkranick
4726080,S. Arrighetti,SpencerArrighetti,spencerarrighetti
41208,B. Abreu,BryanAbreu,bryanabreu
32760,J. Hader,JoshHader,joshhader
4424862,S. Schwellenbach,SpencerSchwellenbach,spencerschwellenbach
36131,A. Bummer,AaronBummer,aaronbummer
35026,E. De Los Santos,EnyelDe Los Santos,enyeldelossantos
4722847,R. Vasquez,RandyVasquez,randyvasquez
36036,W. Peralta,WandyPeralta,wandyperalta
4346118,A. Jacob,AlekJacob,alekjacob
5134630,S. Imanaga,ShotaImanaga,shotaimanaga
5185133,P. Hodge,PorterHodge,porterhodge
33072,R. Pressly,RyanPressly,ryanpressly
4721302,B. Pfaadt,BrandonPfaadt,brandonpfaadt
36723,J. Beeks,JalenBeeks,jalenbeeks
4297972,B. Jarvis,BryceJarvis,brycejarvis
5116851,J. Martinez,JustinMartinez,justinmartinez
4734319,R. Olson,ReeseOlson,reeseolson
5197093,B. Hurter,BrantHurter,branthurter
34892,K. Maeda,KentaMaeda,kentamaeda
5134638,R. Sasaki,RokiSasaki,rokisasaki
5136082,J. Dreyer,JackDreyer,jackdreyer
4326800,B. Casparius,BenCasparius,bencasparius
32185,B. Treinen,BlakeTreinen,blaketreinen
5132624,O. Bido,OsvaldoBido,osvaldobido
41364,H. Harris,HoganHarris,hoganharris
4228299,N. Murdock,NoahMurdock,noahmurdock
41612,T. Ferguson,TylerFerguson,tylerferguson
4730225,M. Miller,MasonMiller,masonmiller
4654313,B. Miller,BryceMiller,brycemiller
3183870,C. Snider,CollinSnider,collinsnider
40327,G. Speier,GabeSpeier,gabespeier
40934,A. Civale,AaronCivale,aaroncivale
40360,T. Alexander,TylerAlexander,tyleralexander
4995802,J. Koenig,JaredKoenig,jaredkoenig
40021,J. Payamps,JoelPayamps,joelpayamps
40080,T. Megill,TrevorMegill,trevormegill
32815,M. Stroman,MarcusStroman,marcusstroman
37005,T. Hill,TimHill,timhill
36202,M. Leiter Jr.,MarkLeiter Jr.,markleiterjr.
34068,F. Cruz,FernandoCruz,fernandocruz
33735,R. Yarbrough,RyanYarbrough,ryanyarbrough
33709,A. Nola,AaronNola,aaronnola
34862,M. Strahm,MattStrahm,mattstrahm
4683356,M. Parker,MitchellParker,mitchellparker
5119607,J. Ferrer,JoseFerrer,joseferrer
33833,J. Lopez,JorgeLopez,jorgelopez
4866810,B. Lord,BradLord,bradlord
36543,K. Finnegan,KyleFinnegan,kylefinnegan
4142423,T. Sugano,TomoyukiSugano,tomoyukisugano
33685,M. Bowman,MattBowman,mattbowman
40884,B. Baker,BryanBaker,bryanbaker
33148,C. Bassitt,ChrisBassitt,chrisbassitt
4411979,Y. Rodriguez,YarielRodriguez,yarielrodriguez
4019484,R. Feltner,RyanFeltner,ryanfeltner
3459223,J. Bird,JakeBird,jakebird
42480,T. Bradley,TajBradley,tajbradley
41308,E. Uceta,EdwinUceta,edwinuceta
32672,A. Heaney,AndrewHeaney,andrewheaney
4345164,M. Meyer,MaxMeyer,maxmeyer
4204524,X. Curry,XzavionCurry,xzavioncurry
32175,R. Ray,RobbieRay,robbieray
4152950,E. Miller,ErikMiller,erikmiller
34026,T. Rogers,TylerRogers,tylerrogers
41337,C. Doval,CamiloDoval,camilodoval
33372,N. Martinez,NickMartinez,nickmartinez
37979,I. Gibaut,IanGibaut,iangibaut
33671,T. Rogers,TaylorRogers,taylorrogers
32156,S. Barlow,ScottBarlow,scottbarlow
36023,B. Suter,BrentSuter,brentsuter
4917819,J. Kochanowicz,JackKochanowicz,jackkochanowicz
4722057,R. Zeferjahn,RyanZeferjahn,ryanzeferjahn
39945,B. Burke,BrockBurke,brockburke
42823,D. Martin,DavisMartin,davismartin
2560565,C. Booser,CamBooser,cambooser
5125257,F. Ellard,FraserEllard,fraserellard
4345278,T. Bibee,TannerBibee,tannerbibee
4228579,T. Herrin,TimHerrin,timherrin
42488,J. Cantillo,JoeyCantillo,joeycantillo
41743,E. Clase,EmmanuelClase,emmanuelclase
32640,M. Wacha,MichaelWacha,michaelwacha
42262,S. Long,SamLong,samlong
32787,C. Stratton,ChrisStratton,chrisstratton
39949,J. Schreiber,JohnSchreiber,johnschreiber
33191,H. Harvey,HunterHarvey,hunterharvey
3107919,B. Ober,BaileyOber,baileyober
42214,R. Dobnak,RandyDobnak,randydobnak
4109034,A. Pallante,AndrePallante,andrepallante
33106,S. Matz,StevenMatz,stevenmatz
4414243,R. Fitts,RichardFitts,richardfitts
4917925,J. Slaten,JustinSlaten,justinslaten
32796,J. deGrom,JacobdeGrom,jacobdegrom
34401,M. Boyd,MatthewBoyd,matthewboyd
39646,N. Pearson,NatePearson,natepearson
32440,C. Thielbar,CalebThielbar,calebthielbar
33950,C. Rea,ColinRea,colinrea
32675,E. Rodriguez,EduardoRodriguez,eduardorodriguez
36201,A.J. Puk,A.J.Puk,a.j.puk
39818,J. Sears,JPSears,jpsears
4629089,B. Woo,BryanWoo,bryanwoo
36728,T. Thornton,TrentThornton,trentthornton
40939,A. Munoz,AndresMunoz,andresmunoz
4917640,A. Smith-Shawver,AJSmith-Shawver,ajsmith-shawver
40981,J. Suarez,JoseSuarez,josesuarez
32377,H. Neris,HectorNeris,hectorneris
36071,N. Pivetta,NickPivetta,nickpivetta
41201,K. Bubic,KrisBubic,krisbubic
4705673,A. Zerpa,AngelZerpa,angelzerpa
40318,E. Rodriguez,ElvinRodriguez,elvinrodriguez
4991171,B. Hudson,BryanHudson,bryanhudson
42161,G. Anderson,GrantAnderson,grantanderson
35999,C. Paddack,ChrisPaddack,chrispaddack
