Date,Team,Opponent,Pitcher,Predicted K,Confidence,Model Pick,Actual K,Result
2025-05-28,ATH,HOU,Luis Severino,4.96,0.46,Over,4,MISS
2025-06-02,ATH,MIN,Luis Severino,2.76,1.74,Under,1,HIT
2025-06-07,ATH,BAL,Luis Severino,2.58,1.92,Under,5,MISS
2025-06-13,ATH,KCR,Luis Severino,1.49,3.01,Under,1,HIT
2025-06-18,ATH,HOU,Luis Severino,2.39,2.11,Under,5,MISS
2025-04-02,WSN,TOR,MacKenzie Gore,8.46,3.96,Over,5,HIT
2025-04-07,WSN,LAD,MacKenzie Gore,8.14,3.64,Over,7,HIT
2025-04-13,WSN,MIA,MacKenzie Gore,6.28,1.78,Over,7,HIT
2025-04-19,WSN,COL,MacKenzie Gore,9.18,4.68,Over,13,HIT
2025-04-24,WSN,BAL,MacKenzie Gore,9.31,4.81,Over,8,HIT
2025-04-29,WSN,PHI,MacKenzie Gore,8.34,3.84,Over,6,HIT
2025-05-04,WSN,CIN,MacKenzie Gore,7.73,3.23,Over,9,HIT
2025-05-11,WSN,STL,MacKenzie Gore,7.61,3.11,Over,7,HIT
2025-05-16,WSN,BAL,MacKenzie Gore,9.15,4.65,Over,9,HIT
2025-05-23,WSN,SFG,MacKenzie Gore,7.78,3.28,Over,9,HIT
2025-05-29,WSN,SEA,MacKenzie Gore,7.87,3.37,Over,8,HIT
2025-06-04,WSN,CHC,MacKenzie Gore,8.59,4.09,Over,7,HIT
2025-06-10,WSN,NYM,MacKenzie Gore,7.71,3.21,Over,6,HIT
2025-06-15,WSN,MIA,MacKenzie Gore,6.4,1.9,Over,5,HIT
2025-04-05,NYY,PIT,Marcus Stroman,2.83,1.67,Under,3,HIT
2025-04-06,CHW,DET,Martín Pérez,5.67,1.17,Over,4,MISS
2025-04-12,CHW,BOS,Martín Pérez,6.49,1.99,Over,5,HIT
2025-04-29,LAD,MIA,Matt Sauer,2.05,2.45,Under,4,HIT
2025-05-07,LAD,MIA,Matt Sauer,2.65,1.85,Under,4,HIT
2025-05-15,LAD,ATH,Matt Sauer,2.06,2.44,Under,2,HIT
2025-06-10,LAD,SDP,Matt Sauer,2.83,1.67,Under,6,MISS
2025-04-05,CHC,SDP,Matthew Boyd,5.29,0.79,Over,5,HIT
2025-04-11,CHC,LAD,Matthew Boyd,5.84,1.34,Over,7,HIT
2025-04-16,CHC,SDP,Matthew Boyd,5.04,0.54,Over,3,MISS
2025-04-23,CHC,LAD,Matthew Boyd,4.67,0.17,Over,4,MISS
2025-04-30,CHC,PIT,Matthew Boyd,4.62,0.12,Over,6,HIT
2025-05-05,CHC,SFG,Matthew Boyd,6.07,1.57,Over,7,HIT
2025-05-11,CHC,NYM,Matthew Boyd,7.48,2.98,Over,8,HIT
2025-05-17,CHC,CHW,Matthew Boyd,8.02,3.52,Over,8,HIT
2025-05-23,CHC,CIN,Matthew Boyd,6.01,1.51,Over,3,MISS
2025-05-28,CHC,COL,Matthew Boyd,6.24,1.74,Over,8,HIT
2025-06-04,CHC,WSN,Matthew Boyd,5.72,1.22,Over,6,HIT
2025-06-09,CHC,PHI,Matthew Boyd,5.18,0.68,Over,0,MISS
2025-06-14,CHC,PIT,Matthew Boyd,3.95,0.55,Under,3,HIT
2025-04-07,STL,PIT,Matthew Liberatore,5.48,0.98,Over,7,HIT
2025-04-13,STL,PHI,Matthew Liberatore,6.24,1.74,Over,7,HIT
2025-04-19,STL,NYM,Matthew Liberatore,6.42,1.92,Over,6,HIT
2025-04-25,STL,MIL,Matthew Liberatore,6.12,1.62,Over,4,MISS
2025-05-06,STL,PIT,Matthew Liberatore,5.03,0.53,Over,8,HIT
2025-05-12,STL,PHI,Matthew Liberatore,4.65,0.15,Over,4,MISS
2025-05-18,STL,KCR,Matthew Liberatore,6.11,1.61,Over,5,HIT
2025-05-24,STL,ARI,Matthew Liberatore,4.39,0.11,Under,4,HIT
2025-05-30,STL,TEX,Matthew Liberatore,4.93,0.43,Over,5,HIT
2025-06-05,STL,KCR,Matthew Liberatore,3.9,0.6,Under,2,HIT
2025-06-11,STL,TOR,Matthew Liberatore,3.67,0.83,Under,4,HIT
2025-06-17,STL,CHW,Matthew Liberatore,3.33,1.17,Under,4,HIT
2025-04-04,NYY,PIT,Max Fried,4.35,0.15,Under,6,MISS
2025-04-09,NYY,DET,Max Fried,7.84,3.34,Over,11,HIT
2025-04-15,NYY,KCR,Max Fried,8.72,4.22,Over,7,HIT
2025-04-20,NYY,TBR,Max Fried,4.9,0.4,Over,2,MISS
2025-04-27,NYY,TOR,Max Fried,2.65,1.85,Under,3,HIT
2025-05-02,NYY,TBR,Max Fried,2.87,1.63,Under,6,MISS
2025-05-07,NYY,SDP,Max Fried,4.46,0.04,Under,8,MISS
2025-05-13,NYY,SEA,Max Fried,6.29,1.79,Over,5,HIT
2025-05-18,NYY,NYM,Max Fried,7.7,3.2,Over,8,HIT
2025-05-24,NYY,COL,Max Fried,6.2,1.7,Over,7,HIT
2025-05-30,NYY,LAD,Max Fried,6.0,1.5,Over,3,MISS
2025-06-05,NYY,CLE,Max Fried,5.99,1.49,Over,7,HIT
2025-06-10,NYY,KCR,Max Fried,4.82,0.32,Over,4,MISS
2025-06-15,NYY,BOS,Max Fried,5.19,0.69,Over,9,HIT
2025-04-04,MIA,ATL,Max Meyer,7.72,3.22,Over,8,HIT
2025-04-09,MIA,NYM,Max Meyer,6.13,1.63,Over,4,MISS
2025-04-16,MIA,ARI,Max Meyer,6.47,1.97,Over,8,HIT
2025-04-21,MIA,CIN,Max Meyer,8.33,3.83,Over,14,HIT
2025-04-27,MIA,SEA,Max Meyer,7.78,3.28,Over,6,HIT
2025-05-03,MIA,ATH,Max Meyer,6.2,1.7,Over,0,MISS
2025-05-09,MIA,CHW,Max Meyer,3.91,0.59,Under,5,MISS
2025-05-16,MIA,TBR,Max Meyer,4.05,0.45,Under,7,MISS
2025-05-21,MIA,CHC,Max Meyer,5.6,1.1,Over,4,MISS
2025-06-02,MIA,COL,Max Meyer,3.08,1.42,Under,5,MISS
2025-04-03,ARI,NYY,Merrill Kelly,1.88,2.62,Under,2,HIT
2025-04-08,ARI,BAL,Merrill Kelly,2.99,1.51,Under,4,HIT
2025-04-15,ARI,MIA,Merrill Kelly,4.89,0.39,Over,9,HIT
2025-04-20,ARI,CHC,Merrill Kelly,5.91,1.41,Over,5,HIT
2025-04-26,ARI,ATL,Merrill Kelly,6.16,1.66,Over,4,MISS
2025-05-02,ARI,PHI,Merrill Kelly,3.6,0.9,Under,2,HIT
2025-05-07,ARI,NYM,Merrill Kelly,3.95,0.55,Under,6,MISS
2025-05-12,ARI,SFG,Merrill Kelly,5.45,0.95,Over,8,HIT
2025-05-18,ARI,COL,Merrill Kelly,8.68,4.18,Over,11,HIT
2025-05-24,ARI,STL,Merrill Kelly,8.07,3.57,Over,6,HIT
2025-05-30,ARI,WSN,Merrill Kelly,8.02,3.52,Over,6,HIT
2025-06-04,ARI,ATL,Merrill Kelly,6.28,1.78,Over,8,HIT
2025-06-09,ARI,SEA,Merrill Kelly,7.66,3.16,Over,7,HIT
2025-06-15,ARI,SDP,Merrill Kelly,7.69,3.19,Over,7,HIT
2025-04-01,SDP,CLE,Michael King,8.26,3.76,Over,11,HIT
2025-04-07,SDP,ATH,Michael King,5.29,0.79,Over,2,MISS
2025-04-13,SDP,COL,Michael King,7.34,2.84,Over,8,HIT
2025-04-19,SDP,HOU,Michael King,5.61,1.11,Over,7,HIT
2025-04-25,SDP,TBR,Michael King,8.26,3.76,Over,9,HIT
2025-04-30,SDP,SFG,Michael King,7.66,3.16,Over,6,HIT
2025-05-06,SDP,NYY,Michael King,5.73,1.23,Over,2,MISS
2025-05-12,SDP,LAA,Michael King,5.52,1.02,Over,8,HIT
2025-05-18,SDP,SEA,Michael King,6.12,1.62,Over,8,HIT
2025-04-07,KCR,MIN,Michael Lorenzen,5.2,0.7,Over,3,MISS
2025-04-12,KCR,CLE,Michael Lorenzen,4.91,0.41,Over,4,MISS
2025-04-17,KCR,DET,Michael Lorenzen,3.48,1.02,Under,3,HIT
2025-04-24,KCR,COL,Michael Lorenzen,4.94,0.44,Over,7,HIT
2025-04-29,KCR,TBR,Michael Lorenzen,5.13,0.63,Over,4,MISS
2025-05-04,KCR,BAL,Michael Lorenzen,5.32,0.82,Over,5,HIT
2025-05-09,KCR,BOS,Michael Lorenzen,5.6,1.1,Over,7,HIT
2025-05-14,KCR,HOU,Michael Lorenzen,5.96,1.46,Over,5,HIT
2025-05-20,KCR,SFG,Michael Lorenzen,5.97,1.47,Over,5,HIT
2025-05-26,KCR,CIN,Michael Lorenzen,3.19,1.31,Under,2,HIT
2025-06-08,KCR,CHW,Michael Lorenzen,3.36,1.14,Under,7,MISS
2025-06-14,KCR,ATH,Michael Lorenzen,4.56,0.06,Over,4,MISS
2025-06-08,STL,LAD,Michael McGreevy,5.18,0.68,Over,5,HIT
2025-05-07,WSN,CLE,Michael Soroka,5.47,0.97,Over,8,HIT
2025-05-13,WSN,ATL,Michael Soroka,4.86,0.36,Over,4,MISS
2025-05-18,WSN,BAL,Michael Soroka,6.3,1.8,Over,8,HIT
2025-05-25,WSN,SFG,Michael Soroka,4.91,0.41,Over,2,MISS
2025-05-31,WSN,ARI,Michael Soroka,4.61,0.11,Over,3,MISS
2025-06-06,WSN,TEX,Michael Soroka,3.95,0.55,Under,7,MISS
2025-06-12,WSN,NYM,Michael Soroka,4.91,0.41,Over,5,HIT
2025-06-17,WSN,COL,Michael Soroka,7.65,3.15,Over,9,HIT
2025-04-05,KCR,BAL,Michael Wacha,3.38,1.12,Under,5,MISS
2025-04-10,KCR,MIN,Michael Wacha,3.47,1.03,Under,4,HIT
2025-04-15,KCR,NYY,Michael Wacha,4.44,0.06,Under,4,HIT
2025-04-20,KCR,DET,Michael Wacha,4.46,0.04,Under,5,MISS
2025-04-26,KCR,HOU,Michael Wacha,5.27,0.77,Over,6,HIT
2025-05-02,KCR,BAL,Michael Wacha,4.94,0.44,Over,3,MISS
2025-05-07,KCR,CHW,Michael Wacha,5.27,0.77,Over,5,HIT
2025-05-12,KCR,HOU,Michael Wacha,2.98,1.52,Under,3,HIT
2025-05-18,KCR,STL,Michael Wacha,5.26,0.76,Over,6,HIT
2025-05-24,KCR,MIN,Michael Wacha,3.53,0.97,Under,1,HIT
2025-05-31,KCR,DET,Michael Wacha,4.76,0.26,Over,6,HIT
2025-06-07,KCR,CHW,Michael Wacha,3.85,0.65,Under,5,MISS
2025-06-13,KCR,ATH,Michael Wacha,5.7,1.2,Over,5,HIT
2025-06-04,PHI,TOR,Mick Abel,5.26,0.76,Over,2,MISS
2025-06-10,PHI,CHC,Mick Abel,4.96,0.46,Over,3,MISS
2025-06-16,PHI,MIA,Mick Abel,2.61,1.89,Under,3,HIT
2025-06-04,PIT,HOU,Mike Burrows,3.63,0.87,Under,6,MISS
2025-06-09,PIT,MIA,Mike Burrows,4.91,0.41,Over,6,HIT
2025-06-14,PIT,CHC,Mike Burrows,6.08,1.58,Over,8,HIT
2025-06-04,CHW,DET,Mike Vasil,3.41,1.09,Under,3,HIT
2025-06-14,CHW,TEX,Mike Vasil,2.62,1.88,Under,4,HIT
2025-04-12,STL,PHI,Miles Mikolas,3.35,1.15,Under,6,MISS
2025-04-18,STL,NYM,Miles Mikolas,2.56,1.94,Under,1,HIT
2025-04-23,STL,ATL,Miles Mikolas,2.92,1.58,Under,2,HIT
2025-04-30,STL,CIN,Miles Mikolas,2.21,2.29,Under,4,HIT
2025-05-05,STL,PIT,Miles Mikolas,2.43,2.07,Under,1,HIT
2025-05-11,STL,WSN,Miles Mikolas,3.29,1.21,Under,5,MISS
2025-05-17,STL,KCR,Miles Mikolas,3.34,1.16,Under,4,HIT
2025-05-23,STL,ARI,Miles Mikolas,4.67,0.17,Over,4,MISS
2025-05-28,STL,BAL,Miles Mikolas,3.63,0.87,Under,3,HIT
2025-06-05,STL,KCR,Miles Mikolas,3.19,1.31,Under,2,HIT
2025-06-10,STL,TOR,Miles Mikolas,2.46,2.04,Under,2,HIT
2025-06-15,STL,MIL,Miles Mikolas,3.77,0.73,Under,7,MISS
2025-04-04,PIT,NYY,Mitch Keller,3.87,0.63,Under,4,HIT
2025-04-09,PIT,STL,Mitch Keller,5.16,0.66,Over,6,HIT
2025-04-15,PIT,WSN,Mitch Keller,4.18,0.32,Under,3,HIT
2025-04-20,PIT,CLE,Mitch Keller,4.18,0.32,Under,3,HIT
2025-04-26,PIT,LAD,Mitch Keller,3.86,0.64,Under,6,MISS
2025-05-02,PIT,SDP,Mitch Keller,4.05,0.45,Under,3,HIT
2025-05-07,PIT,STL,Mitch Keller,5.03,0.53,Over,6,HIT
2025-05-13,PIT,NYM,Mitch Keller,5.99,1.49,Over,8,HIT
2025-05-19,PIT,CIN,Mitch Keller,6.15,1.65,Over,5,HIT
2025-05-24,PIT,MIL,Mitch Keller,6.65,2.15,Over,7,HIT
2025-05-30,PIT,SDP,Mitch Keller,4.54,0.04,Over,1,MISS
2025-06-05,PIT,HOU,Mitch Keller,4.94,0.44,Over,5,HIT
2025-06-10,PIT,MIA,Mitch Keller,3.19,1.31,Under,4,HIT
2025-06-15,PIT,CHC,Mitch Keller,3.93,0.57,Under,3,HIT
2025-04-06,ATH,COL,Mitch Spence,3.49,1.01,Under,7,MISS
2025-06-05,ATH,MIN,Mitch Spence,2.06,2.44,Under,4,HIT
2025-06-10,ATH,LAA,Mitch Spence,3.3,1.2,Under,4,HIT
2025-06-16,ATH,HOU,Mitch Spence,3.42,1.08,Under,2,HIT
2025-04-05,WSN,ARI,Mitchell Parker,3.21,1.29,Under,2,HIT
2025-04-11,WSN,MIA,Mitchell Parker,3.39,1.11,Under,3,HIT
2025-04-16,WSN,PIT,Mitchell Parker,3.78,0.72,Under,6,MISS
2025-04-22,WSN,BAL,Mitchell Parker,3.76,0.74,Under,4,HIT
2025-04-27,WSN,NYM,Mitchell Parker,2.77,1.73,Under,0,HIT
2025-05-02,WSN,CIN,Mitchell Parker,1.96,2.54,Under,1,HIT
2025-05-09,WSN,STL,Mitchell Parker,2.79,1.71,Under,5,MISS
2025-05-14,WSN,ATL,Mitchell Parker,3.3,1.2,Under,6,MISS
2025-05-20,WSN,ATL,Mitchell Parker,5.06,0.56,Over,4,MISS
2025-05-27,WSN,SEA,Mitchell Parker,4.62,0.12,Over,4,MISS
2025-06-01,WSN,ARI,Mitchell Parker,3.21,1.29,Under,2,HIT
2025-06-07,WSN,TEX,Mitchell Parker,3.64,0.86,Under,5,MISS
2025-06-18,WSN,COL,Mitchell Parker,5.5,1.0,Over,8,HIT
2025-04-01,TEX,CIN,Nathan Eovaldi,8.66,4.16,Over,8,HIT
2025-04-07,TEX,CHC,Nathan Eovaldi,7.42,2.92,Over,4,MISS
2025-04-13,TEX,SEA,Nathan Eovaldi,5.17,0.67,Over,3,MISS
2025-04-19,TEX,LAD,Nathan Eovaldi,4.99,0.49,Over,7,HIT
2025-04-25,TEX,SFG,Nathan Eovaldi,5.77,1.27,Over,7,HIT
2025-04-30,TEX,ATH,Nathan Eovaldi,7.69,3.19,Over,8,HIT
2025-05-06,TEX,BOS,Nathan Eovaldi,7.53,3.03,Over,7,HIT
2025-05-11,TEX,DET,Nathan Eovaldi,7.82,3.32,Over,7,HIT
2025-05-16,TEX,HOU,Nathan Eovaldi,5.93,1.43,Over,5,HIT
2025-05-22,TEX,NYY,Nathan Eovaldi,5.82,1.32,Over,6,HIT
2025-04-03,MIL,CIN,Nestor Cortes,4.36,0.14,Under,6,MISS
2025-04-03,CIN,MIL,Nick Lodolo,2.4,2.1,Under,4,HIT
2025-04-08,CIN,SFG,Nick Lodolo,2.93,1.57,Under,3,HIT
2025-04-15,CIN,SEA,Nick Lodolo,4.76,0.26,Over,6,HIT
2025-04-21,CIN,MIA,Nick Lodolo,4.46,0.04,Under,4,HIT
2025-04-27,CIN,COL,Nick Lodolo,6.12,1.62,Over,9,HIT
2025-05-03,CIN,WSN,Nick Lodolo,5.57,1.07,Over,4,MISS
2025-05-08,CIN,ATL,Nick Lodolo,6.48,1.98,Over,7,HIT
2025-05-14,CIN,CHW,Nick Lodolo,4.76,0.26,Over,4,MISS
2025-05-19,CIN,PIT,Nick Lodolo,6.0,1.5,Over,7,HIT
2025-05-25,CIN,CHC,Nick Lodolo,6.07,1.57,Over,6,HIT
2025-05-31,CIN,CHC,Nick Lodolo,5.9,1.4,Over,5,HIT
2025-06-06,CIN,ARI,Nick Lodolo,5.15,0.65,Over,4,MISS
2025-06-18,CIN,MIN,Nick Lodolo,4.91,0.41,Over,4,MISS
2025-04-04,CIN,MIL,Nick Martinez,3.3,1.2,Under,2,HIT
2025-04-09,CIN,SFG,Nick Martinez,4.91,0.41,Over,8,HIT
2025-04-16,CIN,SEA,Nick Martinez,4.99,0.49,Over,4,MISS
2025-04-22,CIN,MIA,Nick Martinez,5.33,0.83,Over,4,MISS
2025-04-28,CIN,STL,Nick Martinez,3.74,0.76,Under,3,HIT
2025-05-04,CIN,WSN,Nick Martinez,4.73,0.23,Over,6,HIT
2025-05-09,CIN,HOU,Nick Martinez,4.87,0.37,Over,5,HIT
2025-05-15,CIN,CHW,Nick Martinez,5.27,0.77,Over,3,MISS
2025-05-20,CIN,PIT,Nick Martinez,3.82,0.68,Under,3,HIT
2025-05-26,CIN,KCR,Nick Martinez,2.05,2.45,Under,2,HIT
2025-06-01,CIN,CHC,Nick Martinez,2.36,2.14,Under,2,HIT
2025-06-07,CIN,ARI,Nick Martinez,3.68,0.82,Under,6,MISS
2025-06-13,CIN,DET,Nick Martinez,4.54,0.04,Over,5,HIT
2025-04-11,SDP,COL,Nick Pivetta,6.15,1.65,Over,10,HIT
2025-04-16,SDP,CHC,Nick Pivetta,6.39,1.89,Over,6,HIT
2025-04-22,SDP,DET,Nick Pivetta,6.35,1.85,Over,6,HIT
2025-04-29,SDP,SFG,Nick Pivetta,7.69,3.19,Over,9,HIT
2025-05-05,SDP,NYY,Nick Pivetta,6.13,1.63,Over,5,HIT
2025-05-11,SDP,COL,Nick Pivetta,5.88,1.38,Over,5,HIT
2025-05-17,SDP,SEA,Nick Pivetta,5.91,1.41,Over,7,HIT
2025-05-23,SDP,ATL,Nick Pivetta,5.97,1.47,Over,7,HIT
2025-05-30,SDP,PIT,Nick Pivetta,7.69,3.19,Over,8,HIT
2025-06-04,SDP,SFG,Nick Pivetta,6.28,1.78,Over,5,HIT
2025-06-09,SDP,LAD,Nick Pivetta,5.6,1.1,Over,3,MISS
2025-06-15,SDP,ARI,Nick Pivetta,5.82,1.32,Over,9,HIT
2025-05-17,KCR,STL,Noah Cameron,2.9,1.6,Under,3,HIT
2025-05-23,KCR,MIN,Noah Cameron,5.19,0.69,Over,8,HIT
2025-05-28,KCR,CIN,Noah Cameron,4.97,0.47,Over,2,MISS
2025-06-05,KCR,STL,Noah Cameron,4.88,0.38,Over,3,MISS
2025-06-10,KCR,NYY,Noah Cameron,3.91,0.59,Under,6,MISS
2025-06-15,KCR,ATH,Noah Cameron,5.49,0.99,Over,7,HIT
2025-04-04,ATH,COL,Osvaldo Bido,4.74,0.24,Over,5,HIT
2025-04-09,ATH,SDP,Osvaldo Bido,4.99,0.49,Over,5,HIT
2025-04-16,ATH,CHW,Osvaldo Bido,3.35,1.15,Under,0,HIT
2025-04-22,ATH,TEX,Osvaldo Bido,2.46,2.04,Under,2,HIT
2025-04-27,ATH,CHW,Osvaldo Bido,1.12,3.38,Under,1,HIT
2025-05-03,ATH,MIA,Osvaldo Bido,2.2,2.3,Under,4,HIT
2025-05-09,ATH,NYY,Osvaldo Bido,3.73,0.77,Under,6,MISS
2025-04-02,MIN,CHW,Pablo López,3.9,0.6,Under,5,MISS
2025-04-08,MIN,KCR,Pablo López,4.86,0.36,Over,6,HIT
2025-04-25,MIN,LAA,Pablo López,6.0,1.5,Over,6,HIT
2025-04-30,MIN,CLE,Pablo López,5.91,1.41,Over,6,HIT
2025-05-06,MIN,BAL,Pablo López,7.96,3.46,Over,11,HIT
2025-05-11,MIN,SFG,Pablo López,7.93,3.43,Over,6,HIT
2025-05-17,MIN,MIL,Pablo López,7.74,3.24,Over,6,HIT
2025-05-23,MIN,KCR,Pablo López,6.09,1.59,Over,5,HIT
2025-05-28,MIN,TBR,Pablo López,4.93,0.43,Over,3,MISS
2025-06-03,MIN,ATH,Pablo López,3.67,0.83,Under,4,HIT
2025-04-16,TEX,LAA,Patrick Corbin,3.0,1.5,Under,6,MISS
2025-04-22,TEX,ATH,Patrick Corbin,3.18,1.32,Under,4,HIT
2025-04-28,TEX,ATH,Patrick Corbin,5.14,0.64,Over,5,HIT
2025-05-03,TEX,SEA,Patrick Corbin,3.72,0.78,Under,2,HIT
2025-05-09,TEX,DET,Patrick Corbin,3.55,0.95,Under,3,HIT
2025-05-14,TEX,COL,Patrick Corbin,5.25,0.75,Over,9,HIT
2025-05-20,TEX,NYY,Patrick Corbin,4.91,0.41,Over,3,MISS
2025-05-25,TEX,CHW,Patrick Corbin,5.86,1.36,Over,6,HIT
2025-05-31,TEX,STL,Patrick Corbin,3.76,0.74,Under,3,HIT
2025-06-06,TEX,WSN,Patrick Corbin,3.77,0.73,Under,2,HIT
2025-06-12,TEX,MIN,Patrick Corbin,3.86,0.64,Under,6,MISS
2025-06-18,TEX,KCR,Patrick Corbin,4.07,0.43,Under,4,HIT
2025-06-08,NYM,COL,Paul Blackburn,2.89,1.61,Under,3,HIT
2025-06-18,NYM,ATL,Paul Blackburn,1.57,2.93,Under,2,HIT
2025-04-02,PIT,TBR,Paul Skenes,5.81,1.31,Over,6,HIT
2025-04-08,PIT,STL,Paul Skenes,6.45,1.95,Over,7,HIT
2025-04-14,PIT,WSN,Paul Skenes,6.48,1.98,Over,6,HIT
2025-04-19,PIT,CLE,Paul Skenes,6.2,1.7,Over,4,MISS
2025-04-25,PIT,LAD,Paul Skenes,6.29,1.79,Over,9,HIT
2025-05-01,PIT,CHC,Paul Skenes,5.37,0.87,Over,2,MISS
2025-05-06,PIT,STL,Paul Skenes,5.59,1.09,Over,6,HIT
2025-05-12,PIT,NYM,Paul Skenes,4.92,0.42,Over,6,HIT
2025-05-18,PIT,PHI,Paul Skenes,6.93,2.43,Over,9,HIT
2025-05-23,PIT,MIL,Paul Skenes,7.91,3.41,Over,8,HIT
2025-05-28,PIT,ARI,Paul Skenes,8.68,4.18,Over,7,HIT
2025-06-03,PIT,HOU,Paul Skenes,7.79,3.29,Over,8,HIT
2025-06-08,PIT,PHI,Paul Skenes,5.98,1.48,Over,7,HIT
2025-06-13,PIT,CHC,Paul Skenes,4.7,0.2,Over,5,HIT
2025-04-15,MIL,DET,Quinn Priester,3.77,0.73,Under,4,HIT
2025-04-21,MIL,SFG,Quinn Priester,3.83,0.67,Under,3,HIT
2025-04-26,MIL,STL,Quinn Priester,3.15,1.35,Under,2,HIT
2025-05-02,MIL,CHC,Quinn Priester,3.73,0.77,Under,4,HIT
2025-05-07,MIL,HOU,Quinn Priester,3.51,0.99,Under,3,HIT
2025-05-13,MIL,CLE,Quinn Priester,3.52,0.98,Under,3,HIT
2025-05-19,MIL,BAL,Quinn Priester,2.75,1.75,Under,2,HIT
2025-05-24,MIL,PIT,Quinn Priester,3.66,0.84,Under,7,MISS
2025-05-30,MIL,PHI,Quinn Priester,3.0,1.5,Under,0,HIT
2025-06-04,MIL,CIN,Quinn Priester,3.57,0.93,Under,4,HIT
2025-06-10,MIL,ATL,Quinn Priester,3.71,0.79,Under,7,MISS
2025-06-15,MIL,STL,Quinn Priester,5.0,0.5,Over,3,MISS
2025-04-04,SDP,CHC,Randy Vásquez,2.24,2.26,Under,2,HIT
2025-04-09,SDP,ATH,Randy Vásquez,1.71,2.79,Under,1,HIT
2025-04-15,SDP,CHC,Randy Vásquez,2.05,2.45,Under,2,HIT
2025-04-27,SDP,TBR,Randy Vásquez,1.34,3.16,Under,1,HIT
2025-05-03,SDP,PIT,Randy Vásquez,1.92,2.58,Under,3,HIT
2025-05-09,SDP,COL,Randy Vásquez,2.82,1.68,Under,5,MISS
2025-05-14,SDP,LAA,Randy Vásquez,4.86,0.36,Over,5,HIT
2025-05-21,SDP,TOR,Randy Vásquez,4.84,0.34,Over,4,MISS
2025-05-26,SDP,MIA,Randy Vásquez,5.04,0.54,Over,5,HIT
2025-06-06,SDP,MIL,Randy Vásquez,3.0,1.5,Under,2,HIT
2025-06-11,SDP,LAD,Randy Vásquez,2.87,1.63,Under,4,HIT
2025-06-17,SDP,LAD,Randy Vásquez,2.62,1.88,Under,2,HIT
2025-05-10,PHI,CLE,Ranger Suárez,5.22,0.72,Over,5,HIT
2025-05-16,PHI,PIT,Ranger Suárez,6.07,1.57,Over,6,HIT
2025-05-22,PHI,COL,Ranger Suárez,4.84,0.34,Over,6,HIT
2025-05-27,PHI,ATL,Ranger Suárez,6.45,1.95,Over,8,HIT
2025-06-01,PHI,MIL,Ranger Suárez,3.96,0.54,Under,2,HIT
2025-06-07,PHI,PIT,Ranger Suárez,5.34,0.84,Over,5,HIT
2025-06-13,PHI,TOR,Ranger Suárez,3.46,1.04,Under,6,MISS
2025-06-18,PHI,MIA,Ranger Suárez,5.1,0.6,Over,8,HIT
2025-04-05,DET,CHW,Reese Olson,5.12,0.62,Over,5,HIT
2025-04-11,DET,MIN,Reese Olson,4.16,0.34,Under,3,HIT
2025-04-17,DET,KCR,Reese Olson,4.52,0.02,Over,5,HIT
2025-04-23,DET,SDP,Reese Olson,5.2,0.7,Over,7,HIT
2025-04-29,DET,HOU,Reese Olson,6.05,1.55,Over,7,HIT
2025-05-04,DET,LAA,Reese Olson,7.5,3.0,Over,8,HIT
2025-05-11,DET,TEX,Reese Olson,6.49,1.99,Over,5,HIT
2025-05-17,DET,TOR,Reese Olson,5.99,1.49,Over,6,HIT
2025-04-07,BOS,TOR,Richard Fitts,3.15,1.35,Under,4,HIT
2025-04-12,BOS,CHW,Richard Fitts,4.52,0.02,Over,5,HIT
2025-04-05,SFG,SEA,Robbie Ray,3.18,1.32,Under,2,HIT
2025-04-11,SFG,NYY,Robbie Ray,4.56,0.06,Over,7,HIT
2025-04-16,SFG,PHI,Robbie Ray,5.75,1.25,Over,8,HIT
2025-04-21,SFG,MIL,Robbie Ray,5.69,1.19,Over,4,MISS
2025-04-26,SFG,TEX,Robbie Ray,6.83,2.33,Over,8,HIT
2025-05-02,SFG,COL,Robbie Ray,6.61,2.11,Over,8,HIT
2025-05-07,SFG,CHC,Robbie Ray,6.95,2.45,Over,5,HIT
2025-05-13,SFG,ARI,Robbie Ray,7.78,3.28,Over,9,HIT
2025-05-19,SFG,KCR,Robbie Ray,7.52,3.02,Over,7,HIT
2025-05-25,SFG,WSN,Robbie Ray,8.1,3.6,Over,7,HIT
2025-05-31,SFG,MIA,Robbie Ray,7.52,3.02,Over,9,HIT
2025-06-05,SFG,SDP,Robbie Ray,8.61,4.11,Over,9,HIT
2025-06-11,SFG,COL,Robbie Ray,7.89,3.39,Over,5,HIT
2025-06-17,SFG,CLE,Robbie Ray,6.3,1.8,Over,5,HIT
2025-04-05,LAD,PHI,Roki Sasaki,3.25,1.25,Under,4,HIT
2025-04-12,LAD,CHC,Roki Sasaki,2.91,1.59,Under,3,HIT
2025-04-19,LAD,TEX,Roki Sasaki,3.49,1.01,Under,4,HIT
2025-04-26,LAD,PIT,Roki Sasaki,3.79,0.71,Under,4,HIT
2025-05-03,LAD,ATL,Roki Sasaki,3.74,0.76,Under,4,HIT
2025-05-09,LAD,ARI,Roki Sasaki,2.65,1.85,Under,0,HIT
2025-04-11,HOU,LAA,Ronel Blanco,6.04,1.54,Over,7,HIT
2025-04-16,HOU,STL,Ronel Blanco,3.46,1.04,Under,1,HIT
