Game Date,Away Team,Home Team,Away Record,Home Record,Away Score,Home Score,Winning Pitcher,Winning IP,Winning H,Winning ER,Winning K,Winning BB,Losing Pitcher,Losing IP,Losing H,Losing ER,Losing K,Losing BB
2025-04-18,Athletics,Milwaukee Brewers,9-11,11-9,3,5,F. Peralta,5.0,7,0,5,1,J.T. Ginn,4.2,4,3,7,2
2025-04-18,San Diego Padres,Houston Astros,15-5,9-10,4,6,R. Gusto,5.0,9,2,2,0,K. Hart,5.0,10,5,2,0
2025-04-18,San Francisco Giants,Los Angeles Angels,13-7,10-9,0,2,T. Anderson,6.0,3,0,6,2,L. Webb,6.0,4,1,12,0
2025-04-19,Miami Marlins,Philadelphia Phillies,8-12,13-8,10,11,M. Strahm,1.0,2,0,0,0,C. Quantrill,3.1,8,7,0,3
2025-04-19,Kansas City Royals,Detroit Tigers,8-14,13-8,1,3,C. Mize,7.0,4,1,3,1,S. Lugo,6.2,5,3,5,2
2025-04-19,Arizona Diamondbacks,Chicago Cubs,12-9,14-9,2,6,C. Thielbar,2.0,0,0,1,0,Z. Gallen,6.0,7,6,5,2
2025-04-19,Seattle Mariners,Toronto Blue Jays,11-10,12-9,8,4,A. Munoz,1.0,0,0,1,1,J. Barnes,1.0,3,4,1,2
2025-04-19,Cincinnati Reds,Baltimore Orioles,10-11,9-11,5,9,S. Dominguez,1.0,1,0,1,0,H. Greene,3.0,6,5,4,2
2025-04-19,Cleveland Guardians,Pittsburgh Pirates,11-9,8-14,3,0,B. Lively,5.1,4,0,3,1,P. Skenes,7.0,6,2,4,1
2025-04-19,St. Louis Cardinals,New York Mets,9-12,14-7,0,3,K. Senga,5.2,3,0,4,2,M. Liberatore,6.2,6,2,6,1
2025-04-19,Los Angeles Dodgers,Texas Rangers,15-7,13-8,3,4,J. Webb,2.0,0,0,1,0,K. Yates,0.0,2,2,0,0
2025-04-19,Chicago White Sox,Boston Red Sox,4-16,12-10,3,4,G. Whitlock,1.0,0,0,2,1,M. Vasil,0.1,1,0,0,2
