Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
159,MIN,2025-05-27,@,TBR,"W, 4-2",36,33,4,7,4,2,0,1,3,0,0,1,10,0.212,0.25,0.364,0.614,12,1,1,0,1,0,
160,NYM,2025-05-27,,CHW,"W, 6-4",38,35,6,12,8,2,0,2,6,0,0,1,6,0.343,0.368,0.571,0.94,20,0,1,0,1,0,
161,NYY,2025-05-27,@,LAA,"W, 3-2",38,33,3,6,3,1,0,2,3,1,1,5,7,0.182,0.289,0.394,0.683,13,0,0,0,0,1,
162,ATH,2025-05-27,@,HOU,"L, 1-11",31,31,1,7,6,0,0,1,1,0,0,0,10,0.226,0.226,0.323,0.548,10,2,0,0,0,0,
163,PHI,2025-05-27,,ATL,"W, 2-0",36,28,2,5,4,1,0,0,2,1,0,7,11,0.179,0.361,0.214,0.575,6,1,1,0,0,0,
164,PIT,2025-05-27,@,ARI,"W, 9-6",45,39,9,12,7,3,0,2,9,2,0,5,8,0.308,0.4,0.538,0.938,21,1,1,0,0,0,
165,SDP,2025-05-27,,MIA,"W, 8-6",43,38,8,13,10,1,0,2,7,0,0,4,5,0.342,0.395,0.526,0.922,20,0,0,0,1,0,
166,SEA,2025-05-27,,WSN,"W, 9-1",41,36,9,12,7,2,0,3,8,0,0,4,8,0.333,0.415,0.639,1.054,23,1,1,0,0,0,
167,SFG,2025-05-27,@,DET,"L, 1-3",33,31,1,6,5,1,0,0,1,0,0,1,10,0.194,0.242,0.226,0.468,7,2,1,0,0,0,
168,STL,2025-05-27,@,BAL,"W, 7-4",42,40,7,14,9,1,2,2,7,0,0,2,9,0.35,0.381,0.625,1.006,25,0,0,0,0,0,
169,TBR,2025-05-27,,MIN,"L, 2-4",34,30,2,6,4,2,0,0,2,2,1,2,9,0.2,0.273,0.267,0.539,8,1,1,1,0,0,
170,TEX,2025-05-27,,TOR,"W, 2-0",31,29,2,6,6,0,0,0,1,2,0,2,8,0.207,0.258,0.207,0.465,6,0,0,0,0,1,
171,TOR,2025-05-27,@,TEX,"L, 0-2",38,31,0,4,2,2,0,0,0,0,0,6,8,0.129,0.289,0.194,0.483,6,0,1,0,0,1,
172,WSN,2025-05-27,@,SEA,"L, 1-9",30,29,1,4,2,1,0,1,1,0,0,1,5,0.138,0.167,0.276,0.443,8,2,0,0,0,0,
173,LAA,2025-05-26,,NYY,"L, 1-5",34,32,1,5,4,0,0,1,1,1,0,2,11,0.156,0.206,0.25,0.456,8,0,0,0,0,0,
174,ARI,2025-05-26,,PIT,"W, 5-0",37,32,5,10,7,1,0,2,5,1,0,4,3,0.313,0.378,0.531,0.91,17,1,0,0,1,0,
175,BAL,2025-05-26,,STL,"W, 5-2",36,33,5,10,9,0,0,1,5,1,1,1,8,0.303,0.343,0.394,0.737,13,1,1,1,0,0,
176,BOS,2025-05-26,@,MIL,"L, 2-3",39,32,2,7,6,1,0,0,2,1,0,7,7,0.219,0.359,0.25,0.609,8,2,0,0,0,1,
177,CHC,2025-05-26,,COL,"W, 3-1",33,27,3,4,3,1,0,0,3,1,0,4,8,0.148,0.25,0.185,0.435,5,0,0,1,1,0,
178,CHW,2025-05-26,@,NYM,"L, 1-2",38,30,1,4,2,2,0,0,1,2,0,7,6,0.133,0.289,0.2,0.489,6,0,0,0,1,0,
179,CIN,2025-05-26,@,KCR,"W, 7-4",45,40,7,14,10,2,1,1,7,0,0,3,8,0.35,0.378,0.525,0.903,21,0,0,0,2,0,
180,CLE,2025-05-26,,LAD,"L, 2-7",36,32,2,6,3,3,0,0,2,0,0,3,8,0.188,0.257,0.281,0.538,9,1,0,1,0,0,
181,COL,2025-05-26,@,CHC,"L, 1-3",33,30,1,5,4,0,0,1,1,0,0,2,9,0.167,0.219,0.267,0.485,8,1,0,1,0,0,
182,DET,2025-05-26,,SFG,"W, 3-1",34,30,3,7,6,1,0,0,3,0,0,4,8,0.233,0.324,0.267,0.59,8,1,0,0,0,1,
183,MIA,2025-05-26,@,SDP,"L, 3-4 (11)",40,38,3,7,4,2,0,1,3,0,1,2,9,0.184,0.225,0.316,0.541,12,1,0,0,0,0,
184,KCR,2025-05-26,,CIN,"L, 4-7",35,31,4,7,5,1,0,1,3,0,0,1,4,0.226,0.265,0.355,0.62,11,1,1,1,1,0,
185,LAD,2025-05-26,@,CLE,"W, 7-2",42,33,7,8,6,0,0,2,7,0,1,8,8,0.242,0.381,0.424,0.805,14,0,0,0,1,0,
186,MIL,2025-05-26,,BOS,"W, 3-2",35,31,3,7,4,2,0,1,3,1,0,4,12,0.226,0.314,0.387,0.701,12,0,0,0,0,0,
