Rk,Team,Date,Unnamed: 3,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR
1,LAA,2025-06-11,,ATH,"W, 6-5",9.0,10,5,4,1,2,3,0,7,0,0,0,39,13
2,ARI,2025-06-11,,SEA,"W, 5-2",9.0,8,2,2,0,1,2,0,7,0,0,0,35,10
3,ATL,2025-06-11,@,MIL,"W, 6-2",9.0,5,2,2,0,1,0,0,9,0,0,0,31,5
4,BAL,2025-06-11,,DET,"W, 10-1",9.0,5,1,1,0,0,1,0,8,0,0,0,33,6
5,BOS,2025-06-11,,TBR,"W, 4-3",9.0,8,3,3,0,1,2,0,10,2,0,0,37,12
6,CHC,2025-06-11,@,PHI,"L, 2-7",8.0,10,7,7,0,2,3,0,9,0,0,0,36,13
7,CHW,2025-06-11,@,HOU,"L, 2-10",8.0,15,10,10,0,1,3,0,9,0,0,0,40,18
8,CIN,2025-06-11,@,CLE,"L, 2-11",8.0,13,11,11,0,2,2,0,12,2,0,0,39,17
9,CLE,2025-06-11,,CIN,"W, 11-2",9.0,5,2,2,0,2,2,0,7,1,0,0,34,8
10,COL,2025-06-11,,SFG,"L, 7-10",9.0,13,10,10,0,1,6,0,7,0,0,0,44,20
11,DET,2025-06-11,@,BAL,"L, 1-10",8.0,16,10,10,0,2,4,0,10,0,0,1,42,20
12,MIA,2025-06-11,@,PIT,"L, 2-5",8.0,7,5,4,1,1,4,0,8,1,0,0,34,12
13,HOU,2025-06-11,,CHW,"W, 10-2",9.0,8,2,2,0,0,1,0,12,0,0,0,35,9
14,KCR,2025-06-11,,NYY,"L, 3-6",9.0,8,6,6,0,1,5,0,7,0,0,0,39,13
15,LAD,2025-06-11,@,SDP,"W, 5-2",9.0,4,2,1,1,0,6,0,7,0,0,0,36,10
16,MIL,2025-06-11,,ATL,"L, 2-6",9.0,10,6,6,0,2,4,0,12,0,0,0,41,14
17,MIN,2025-06-11,,TEX,"W, 6-2",9.0,7,2,2,0,1,2,0,7,0,0,0,35,9
18,NYM,2025-06-11,,WSN,"W, 5-0",9.0,6,0,0,0,0,0,0,6,0,0,0,31,6
19,NYY,2025-06-11,@,KCR,"W, 6-3",9.0,8,3,2,1,1,3,0,9,0,1,0,37,11
20,ATH,2025-06-11,@,LAA,"L, 5-6",8.0,9,6,6,0,1,2,0,12,1,0,0,35,12
21,PHI,2025-06-11,,CHC,"W, 7-2",9.0,8,2,2,0,0,1,0,11,0,0,0,36,9
22,PIT,2025-06-11,,MIA,"W, 5-2",9.0,7,2,2,0,1,3,0,8,0,0,0,37,10
23,SDP,2025-06-11,,LAD,"L, 2-5",9.0,10,5,5,0,2,3,0,8,1,0,0,41,14
24,SEA,2025-06-11,@,ARI,"L, 2-5",8.0,10,5,5,0,2,1,0,5,0,0,0,35,11
25,SFG,2025-06-11,@,COL,"W, 10-7",9.0,13,7,5,2,1,3,0,6,0,0,1,42,17
26,STL,2025-06-11,,TOR,"L, 2-5",9.0,10,5,3,2,1,3,0,6,0,0,0,39,14
27,TBR,2025-06-11,@,BOS,"L, 3-4",8.0,9,4,4,0,4,0,0,8,1,0,0,34,10
28,TEX,2025-06-11,@,MIN,"L, 2-6",8.0,10,6,6,0,1,4,0,5,0,0,0,36,14
29,TOR,2025-06-11,@,STL,"W, 5-2",9.0,7,2,2,0,1,2,0,11,1,0,0,37,10
30,WSN,2025-06-11,@,NYM,"L, 0-5",8.0,7,5,5,0,3,4,0,5,2,0,0,36,13
31,LAA,2025-06-10,,ATH,"W, 2-1 (10)",10.0,4,1,1,0,0,2,0,14,0,0,0,36,6
32,ARI,2025-06-10,,SEA,"W, 10-3",9.0,12,3,3,0,2,5,0,7,0,0,0,42,17
33,ATL,2025-06-10,@,MIL,"L, 1-4",8.0,6,4,4,0,2,5,0,12,1,0,0,35,12
34,BAL,2025-06-10,,DET,"L, 3-5",9.0,12,5,5,0,1,1,0,9,0,0,0,39,13
35,BOS,2025-06-10,,TBR,"W, 3-1",9.0,3,1,0,1,0,3,0,7,0,0,0,32,6
36,CHC,2025-06-10,@,PHI,"W, 8-4",9.0,10,4,4,0,1,1,0,10,1,0,0,38,12
37,CHW,2025-06-10,@,HOU,"W, 4-2",9.0,9,2,2,0,0,3,0,6,0,0,0,36,12
38,CIN,2025-06-10,@,CLE,"W, 1-0",9.0,3,0,0,0,0,1,0,5,0,0,0,31,5
39,CLE,2025-06-10,,CIN,"L, 0-1",9.0,6,1,1,0,0,3,1,12,0,0,0,34,9
40,COL,2025-06-10,,SFG,"L, 5-6",9.0,7,6,6,0,2,6,0,10,2,0,1,42,15
41,DET,2025-06-10,@,BAL,"W, 5-3",9.0,6,3,3,0,1,1,0,11,2,0,1,36,10
42,MIA,2025-06-10,@,PIT,"W, 3-2",9.0,6,2,2,0,2,1,0,8,1,0,0,35,8
43,HOU,2025-06-10,,CHW,"L, 2-4",9.0,4,4,4,0,1,8,0,13,0,0,0,38,12
44,KCR,2025-06-10,,NYY,"L, 2-10",9.0,16,10,10,0,2,3,0,9,0,0,1,46,19
45,LAD,2025-06-10,@,SDP,"L, 1-11",8.0,16,11,10,1,1,5,0,6,2,0,2,46,23
46,MIL,2025-06-10,,ATL,"W, 4-1",9.0,8,1,1,0,0,0,0,10,0,0,0,34,8
47,MIN,2025-06-10,,TEX,"L, 4-16",9.0,17,16,14,2,2,4,0,4,1,0,2,51,24
48,NYM,2025-06-10,,WSN,"W, 5-4 (10)",10.0,8,4,4,0,2,4,0,11,1,0,1,40,13
49,NYY,2025-06-10,@,KCR,"W, 10-2",9.0,9,2,2,0,1,2,0,5,0,0,0,38,11
50,ATH,2025-06-10,@,LAA,"L, 1-2 (10)",9.2,7,2,1,1,1,3,1,6,1,0,0,38,11
51,PHI,2025-06-10,,CHC,"L, 4-8",9.0,13,8,8,0,4,5,0,7,0,0,0,44,18
52,PIT,2025-06-10,,MIA,"L, 2-3",9.0,8,3,3,0,1,0,0,7,0,0,1,35,8
53,SDP,2025-06-10,,LAD,"W, 11-1",9.0,6,1,1,0,0,7,0,12,0,0,0,39,13
54,SEA,2025-06-10,@,ARI,"L, 3-10",8.0,13,10,10,0,3,4,0,9,0,0,0,39,17
55,SFG,2025-06-10,@,COL,"W, 6-5",9.0,8,5,5,0,2,7,0,10,0,0,0,40,15
56,STL,2025-06-10,,TOR,"L, 9-10",9.0,16,10,10,0,2,0,0,5,0,0,1,42,17
57,TBR,2025-06-10,@,BOS,"L, 1-3",8.0,7,3,3,0,1,2,0,13,0,0,0,33,9
58,TEX,2025-06-10,@,MIN,"W, 16-4",9.0,12,4,4,0,1,2,0,4,0,0,0,38,14
59,TOR,2025-06-10,@,STL,"W, 10-9",9.0,12,9,9,0,3,2,0,4,1,0,0,41,15
60,WSN,2025-06-10,@,NYM,"L, 4-5 (10)",9.0,8,5,4,1,1,1,0,9,0,0,0,35,9
61,LAA,2025-06-09,,ATH,"W, 7-4",9.0,5,4,4,0,2,2,0,5,0,0,0,34,7
62,ARI,2025-06-09,,SEA,"W, 8-4 (11)",11.0,12,4,4,0,1,3,0,12,0,0,0,45,15
63,ATL,2025-06-09,@,MIL,"W, 7-1",9.0,5,1,1,0,0,2,0,15,0,0,0,33,7
64,BOS,2025-06-09,,TBR,"L, 8-10 (11)",11.0,12,10,7,3,0,7,2,8,1,0,1,52,20
65,CHC,2025-06-09,@,PHI,"L, 3-4 (11)",10.0,16,4,2,2,0,3,1,2,1,0,0,44,20
66,CIN,2025-06-09,@,CLE,"W, 7-4",9.0,7,4,4,0,1,7,0,7,1,0,0,38,15
67,CLE,2025-06-09,,CIN,"L, 4-7",9.0,16,7,5,2,2,3,0,7,0,0,0,46,20
68,MIA,2025-06-09,@,PIT,"L, 3-10",8.0,15,10,10,0,0,3,0,6,0,0,0,42,19
69,LAD,2025-06-09,@,SDP,"W, 8-7 (10)",10.0,7,7,5,2,0,5,0,6,0,0,0,42,12
70,MIL,2025-06-09,,ATL,"L, 1-7",9.0,11,7,7,0,3,6,0,7,1,0,0,44,18
71,ATH,2025-06-09,@,LAA,"L, 4-7",8.0,8,7,6,1,1,1,0,9,1,0,0,35,11
72,PHI,2025-06-09,,CHC,"W, 4-3 (11)",11.0,5,3,2,1,2,3,0,9,0,0,2,42,9
73,PIT,2025-06-09,,MIA,"W, 10-3",9.0,7,3,3,0,1,4,0,9,0,0,0,39,13
