Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-09,,ATH,"W, 7-4",35,32,7,8,7,0,0,1,7,2,0,1,9,.250,.286,.344,.629,11,0,1,0,1,0,2025-06-09
2,ARI,2025-06-09,,SEA,"W, 8-4 (11)",49,37,8,10,7,1,0,2,8,0,0,10,10,.270,.426,.459,.885,17,2,0,2,0,2,2025-06-09
3,ATL,2025-06-09,@,MIL,"W, 7-1",44,36,7,11,7,1,0,3,7,0,0,6,7,.306,.419,.583,1.002,21,1,1,1,0,0,2025-06-09
4,BOS,2025-06-09,,TBR,"L, 8-10 (11)",53,43,8,10,6,4,0,0,6,2,0,8,12,.233,.377,.326,.703,14,1,2,0,0,1,2025-06-09
5,CHC,2025-06-09,@,PHI,"L, 3-4 (11)",42,39,3,5,2,1,0,2,3,0,0,3,9,.128,.190,.308,.498,12,0,0,0,0,0,2025-06-09
6,CIN,2025-06-09,@,CLE,"W, 7-4",46,41,7,16,12,2,0,2,7,1,0,3,7,.390,.422,.585,1.008,24,1,0,1,1,0,2025-06-09
7,CLE,2025-06-09,,CIN,"L, 4-7",38,30,4,7,6,0,0,1,4,2,0,7,7,.233,.395,.333,.728,10,2,1,0,0,0,2025-06-09
8,MIA,2025-06-09,@,PIT,"L, 3-10",39,34,3,7,4,2,0,1,3,0,1,4,9,.206,.282,.353,.635,12,0,0,0,1,0,2025-06-09
9,LAD,2025-06-09,@,SDP,"W, 8-7 (10)",47,42,8,12,7,4,0,1,8,0,0,3,8,.286,.319,.452,.772,19,0,0,0,2,1,2025-06-09
10,MIL,2025-06-09,,ATL,"L, 1-7",33,31,1,5,4,1,0,0,1,0,1,2,15,.161,.212,.194,.406,6,0,0,0,0,0,2025-06-09
11,ATH,2025-06-09,@,LAA,"L, 4-7",34,32,4,5,3,0,0,2,4,1,0,2,5,.156,.206,.344,.550,11,0,0,0,0,0,2025-06-09
12,PHI,2025-06-09,,CHC,"W, 4-3 (11)",44,38,4,16,15,1,0,0,4,0,0,3,2,.421,.476,.447,.924,17,3,1,2,0,1,2025-06-09
13,PIT,2025-06-09,,MIA,"W, 10-3",42,38,10,15,11,3,1,0,8,0,0,3,6,.395,.429,.526,.955,20,1,0,0,1,0,2025-06-09
14,SDP,2025-06-09,,LAD,"L, 7-8 (10)",42,35,7,7,4,2,1,0,6,2,0,5,6,.200,.293,.314,.607,11,0,0,1,1,0,2025-06-09
15,SEA,2025-06-09,@,ARI,"L, 4-8 (11)",45,42,4,12,10,1,0,1,4,0,0,3,12,.286,.333,.381,.714,16,1,0,0,0,0,2025-06-09
16,STL,2025-06-09,,TOR,"L, 4-5 (10)",39,36,4,7,5,1,0,1,4,0,0,3,7,.194,.256,.306,.562,11,1,0,0,0,0,2025-06-09
17,TBR,2025-06-09,@,BOS,"W, 10-8 (11)",52,41,10,12,10,2,0,0,8,3,0,7,8,.293,.392,.341,.734,14,0,1,1,2,2,2025-06-09
18,TOR,2025-06-09,@,STL,"W, 5-4 (10)",44,39,5,13,6,5,0,2,5,0,0,3,5,.333,.381,.615,.996,24,2,0,1,0,1,2025-06-09
19,LAA,2025-06-08,,SEA,"L, 2-3",30,29,2,2,1,0,0,1,2,0,0,1,18,.069,.100,.172,.272,5,0,0,0,0,0,2025-06-08
20,ARI,2025-06-08,@,CIN,"L, 2-4",33,29,2,5,4,0,0,1,2,0,0,3,8,.172,.250,.276,.526,8,2,0,1,0,0,2025-06-08
21,ATL,2025-06-08,@,SFG,"L, 3-4",36,33,3,6,4,2,0,0,3,0,0,2,8,.182,.250,.242,.492,8,0,1,0,0,0,2025-06-08
22,BAL,2025-06-08,@,ATH,"L, 1-5",36,34,1,8,7,1,0,0,0,2,0,2,9,.235,.278,.265,.542,9,0,0,0,0,0,2025-06-08
23,BOS,2025-06-08,@,NYY,"W, 11-7",44,38,11,12,5,2,0,5,11,0,1,5,9,.316,.409,.763,1.172,29,0,1,0,0,0,2025-06-08
24,CHC,2025-06-08,@,DET,"L, 0-4",33,30,0,4,3,1,0,0,0,0,0,3,12,.133,.212,.167,.379,5,0,0,0,0,0,2025-06-08
25,CHW,2025-06-08,,KCR,"L, 5-7",36,31,5,4,3,0,0,1,5,0,0,5,11,.129,.250,.226,.476,7,0,0,0,0,0,2025-06-08
26,CIN,2025-06-08,,ARI,"W, 4-2",31,28,4,6,3,0,0,3,4,0,1,3,6,.214,.290,.536,.826,15,1,0,0,0,0,2025-06-08
27,CLE,2025-06-08,,HOU,"W, 4-2",35,32,4,9,6,2,0,1,3,3,0,1,7,.281,.294,.438,.732,14,0,0,1,1,1,2025-06-08
28,COL,2025-06-08,,NYM,"L, 5-13",41,36,5,10,4,5,1,0,5,0,0,4,8,.278,.366,.472,.838,17,1,1,0,0,0,2025-06-08
29,DET,2025-06-08,,CHC,"W, 4-0",36,34,4,10,7,3,0,0,4,0,0,2,8,.294,.333,.382,.716,13,0,0,0,0,0,2025-06-08
30,MIA,2025-06-08,@,TBR,"L, 2-3",34,33,2,7,7,0,0,0,2,1,1,1,7,.212,.235,.212,.447,7,0,0,0,0,0,2025-06-08
31,HOU,2025-06-08,@,CLE,"L, 2-4",34,34,2,7,6,1,0,0,2,3,0,0,9,.206,.206,.235,.441,8,0,0,0,0,0,2025-06-08
