Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-17,@,NYY,"W, 4-0",38,34,4,8,7,1,0,0,4,0,0,1,13,.235,.278,.265,.542,9,0,1,1,0,1,2025-06-17
2,ARI,2025-06-17,@,TOR,"L, 4-5",41,34,4,8,5,3,0,0,3,0,1,5,7,.235,.366,.324,.689,11,0,2,0,0,0,2025-06-17
3,ATL,2025-06-17,,NYM,"W, 5-4 (10)",40,34,5,7,6,1,0,0,5,0,0,5,5,.206,.300,.235,.535,8,2,0,0,1,1,2025-06-17
4,BAL,2025-06-17,@,TBR,"W, 5-1",40,39,5,13,11,1,0,1,5,1,1,1,9,.333,.350,.436,.786,17,0,0,0,0,1,2025-06-17
5,BOS,2025-06-17,@,SEA,"L, 0-8",31,28,0,2,2,0,0,0,0,0,0,2,10,.071,.161,.071,.233,2,1,1,0,0,0,2025-06-17
6,CHC,2025-06-17,,MIL,"W, 5-3",34,31,5,8,3,3,0,2,5,0,0,2,8,.258,.324,.548,.872,17,1,1,0,0,0,2025-06-17
7,CHW,2025-06-17,,STL,"L, 2-12",32,31,2,6,4,2,0,0,2,0,0,0,5,.194,.188,.258,.446,8,1,0,0,1,0,2025-06-17
8,CIN,2025-06-17,,MIN,"W, 6-5",39,30,6,5,3,2,0,0,6,2,0,8,8,.167,.359,.233,.592,7,0,1,0,0,0,2025-06-17
9,CLE,2025-06-17,@,SFG,"W, 3-2",35,32,3,6,2,2,1,1,3,0,0,2,6,.188,.229,.406,.635,13,0,0,0,1,0,2025-06-17
10,COL,2025-06-17,@,WSN,"W, 10-6",43,35,10,10,2,1,0,7,10,1,1,4,12,.286,.419,.914,1.333,32,1,4,0,0,0,2025-06-17
11,DET,2025-06-17,,PIT,"W, 7-3",35,31,7,9,3,1,1,4,7,0,0,3,7,.290,.371,.774,1.146,24,1,1,0,0,0,2025-06-17
12,MIA,2025-06-17,,PHI,"W, 8-3",41,35,8,13,10,0,1,2,8,2,0,5,7,.371,.439,.600,1.039,21,1,0,0,1,0,2025-06-17
13,HOU,2025-06-17,@,ATH,"W, 13-3",50,40,13,15,7,3,0,5,12,0,2,7,4,.375,.500,.825,1.325,33,1,3,0,0,0,2025-06-17
14,KCR,2025-06-17,@,TEX,"W, 6-1",37,35,6,8,3,2,0,3,6,1,0,2,7,.229,.270,.543,.813,19,0,0,0,0,0,2025-06-17
15,LAD,2025-06-17,,SDP,"W, 8-6",38,34,8,12,7,2,0,3,8,0,0,2,5,.353,.395,.676,1.071,23,1,1,0,1,1,2025-06-17
16,MIL,2025-06-17,@,CHC,"L, 3-5",39,35,3,9,4,4,0,1,3,1,1,3,10,.257,.333,.457,.790,16,0,1,0,0,0,2025-06-17
17,MIN,2025-06-17,@,CIN,"L, 5-6",38,35,5,8,5,1,0,2,5,0,1,2,11,.229,.289,.429,.718,15,0,1,0,0,0,2025-06-17
18,NYM,2025-06-17,@,ATL,"L, 4-5 (10)",35,33,4,7,4,1,0,2,4,0,1,2,11,.212,.257,.424,.681,14,0,0,0,0,0,2025-06-17
19,NYY,2025-06-17,,LAA,"L, 0-4",33,31,0,4,3,1,0,0,0,1,0,2,12,.129,.182,.161,.343,5,0,0,0,0,0,2025-06-17
20,ATH,2025-06-17,,HOU,"L, 3-13",34,30,3,4,2,2,0,0,2,0,0,3,5,.133,.235,.200,.435,6,2,1,0,0,0,2025-06-17
21,PHI,2025-06-17,@,MIA,"L, 3-8",35,34,3,8,6,1,0,1,3,0,0,0,6,.235,.257,.353,.610,12,0,1,0,0,0,2025-06-17
22,PIT,2025-06-17,@,DET,"L, 3-7",32,32,3,5,4,1,0,0,3,0,1,0,6,.156,.156,.188,.344,6,0,0,0,0,0,2025-06-17
23,SDP,2025-06-17,@,LAD,"L, 6-8",41,32,6,9,7,1,0,1,5,2,0,6,9,.281,.415,.406,.821,13,3,2,0,1,1,2025-06-17
24,SEA,2025-06-17,,BOS,"W, 8-0",38,31,8,9,5,3,0,1,8,3,0,6,6,.290,.395,.484,.879,15,0,0,0,1,0,2025-06-17
