Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Andrew Abbott,2025-06-10,26-009,CIN,@,CLE,"W, 1-0","SHO, W",9.0,3,0,0,0,0,1,0,5,0,0,0,31,5,P
2,Mick Abel,2025-06-10,23-296,PHI,,CHC,"L, 4-8",GS-4,4.0,6,3,3,0,3,3,0,3,0,0,0,20,9,P
3,Zach Agnos,2025-06-10,24-299,COL,,SFG,"L, 5-6","9-9, HL",0.1,1,4,4,0,1,3,0,0,0,0,1,5,4,P
4,Jorge Alcalá,2025-06-10,29-317,MIN,,TEX,"L, 4-16",7-8,1.2,5,6,5,1,1,1,0,0,0,0,0,11,6,P
5,Sandy Alcantara,2025-06-10,29-276,MIA,@,PIT,"W, 3-2","GS-6, W",6.0,3,0,0,0,0,1,0,6,0,0,0,22,4,P
6,Shawn Armstrong,2025-06-10,34-272,TEX,@,MIN,"W, 16-4",6-7,1.1,1,0,0,0,0,0,0,1,0,0,0,5,1,P
7,Tanner Banks,2025-06-10,33-229,PHI,,CHC,"L, 4-8",5-5,1.0,1,0,0,0,0,0,0,0,0,0,0,4,1,P
8,Chris Bassitt,2025-06-10,36-108,TOR,@,STL,"W, 10-9","GS-7, W",7.0,6,4,4,0,1,2,0,3,1,0,0,29,9,P
9,Anthony Bender,2025-06-10,30-127,MIA,@,PIT,"W, 3-2","7-7, H",1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
10,Jake Bird,2025-06-10,29-188,COL,,SFG,"L, 5-6",5-6,2.0,0,0,0,0,0,0,0,5,0,0,0,6,0,P
11,Spencer Bivens,2025-06-10,30-347,SFG,@,COL,"W, 6-5",6-8,2.2,2,2,2,0,0,3,0,3,0,0,0,12,5,P
12,Scott Blewett,2025-06-10,29-061,BAL,,DET,"L, 3-5",8-GF,2.0,2,0,0,0,0,0,0,0,0,0,0,7,2,P
13,Ryan Borucki,2025-06-10,31-071,PIT,,MIA,"L, 2-3",7-7,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,P
14,Caleb Boushley,2025-06-10,31-252,TEX,@,MIN,"W, 16-4",9-GF,1.0,1,0,0,0,0,0,0,0,0,0,0,3,1,P
15,Ryan Brasier,2025-06-10,37-288,CHC,@,PHI,"W, 8-4",5-5,0.2,1,0,0,0,0,0,0,2,0,0,0,3,1,P
16,Jonah Bride,2025-06-10,29-165,MIN,,TEX,"L, 4-16",9-GF,1.0,1,0,0,0,0,0,0,0,1,0,0,5,2,P
17,Aaron Bummer,2025-06-10,31-262,ATL,@,MIL,"L, 1-4",6-7,0.2,1,1,1,0,0,1,0,0,1,0,0,5,3,P
18,José Buttó,2025-06-10,27-083,NYM,,WSN,"W, 5-4 (10)",6-7,1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
19,Noah Cameron,2025-06-10,25-328,KCR,,NYY,"L, 2-10","GS-6, L",5.2,7,6,6,0,2,1,0,6,0,0,0,25,8,P
20,Griffin Canning,2025-06-10,29-030,NYM,,WSN,"W, 5-4 (10)",GS-6,5.1,7,4,4,0,2,2,0,4,0,0,0,23,9,P
21,Yennier Cano,2025-06-10,31-093,BAL,,DET,"L, 3-5",7-7,1.0,1,0,0,0,0,0,0,3,0,0,0,4,1,P
22,José Castillo,2025-06-10,29-151,NYM,,WSN,"W, 5-4 (10)",7-8,1.0,1,0,0,0,0,2,0,1,1,0,0,6,4,P
23,Dylan Cease,2025-06-10,29-164,SDP,,LAD,"W, 11-1","GS-7, W",7.0,3,0,0,0,0,5,0,11,0,0,0,29,8,P
24,Slade Cecconi,2025-06-10,25-351,CLE,,CIN,"L, 0-1","GS-5, L",5.0,4,1,1,0,0,1,0,8,0,0,0,20,5,P
25,Taylor Clarke,2025-06-10,32-028,KCR,,NYY,"L, 2-10",6-6,0.1,5,4,4,0,0,1,0,0,0,0,0,7,6,P
26,Danny Coulombe,2025-06-10,35-227,MIN,,TEX,"L, 4-16",8-8,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,P
27,Yerry De los Santos,2025-06-10,27-180,NYY,@,KCR,"W, 10-2",8-9,1.2,3,0,0,0,0,2,0,1,0,0,0,10,5,P
28,Reid Detmers,2025-06-10,25-337,LAA,,ATH,"W, 2-1 (10)","10-GF(10), W",1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
