date,away_team,home_team,away_pitcher,home_pitcher,away_pitcher_id,home_pitcher_id
2025-06-10,DET,BAL,Brant Hurter,Cade Povich,5197093,5085743
2025-06-10,CIN,CLE,Andrew Abbott,Slade Cecconi,4414528,41462
2025-06-10,MIA,PIT,Sandy Alcantara,Mitch Keller,35241,33722
2025-06-10,CHC,PHI,Colin Rea,Mick Abel,33950,4718970
2025-06-10,TB,BOS,Ryan Pepiot,Lucas Giolito,4208281,32697
2025-06-10,WSH,NYM,MacKenzie Gore,Griffin Canning,39636,41065
2025-06-10,ATL,MIL,Grant Holmes,Quinn Priester,33840,42449
2025-06-10,NYY,KC,Max Fried,Noah Cameron,32685,4417208
2025-06-10,TEX,MIN,Tyler Mahle,Simeon Woods Richardson,34973,41383
2025-06-10,TOR,STL,Chris Bassitt,Miles Mikolas,33148,32116
2025-06-10,CHW,HOU,Shane Smith,Lance McCullers Jr.,5201814,32764
2025-06-10,SF,COL,Kyle Harrison,Carson Palmquist,4683375,4621424
2025-06-10,ATH,LAA,Mitch Spence,Jose Soriano,4987645,40973
2025-06-10,LAD,SD,Undecided,Dylan Cease,,34943
2025-06-10,SEA,ARI,Logan Evans,Brandon Pfaadt,5202474,4721302
2025-06-11,MIA,PIT,Cal Quantrill,Bailey Falter,39875,4705677
2025-06-11,CHC,PHI,Ben Brown,Jesus Luzardo,41516,39667
2025-06-11,CIN,CLE,Nick Lodolo,Logan Allen,42433,4683350
2025-06-11,ATL,MIL,Spencer Schwellenbach,Chad Patrick,4424862,5131708
2025-06-11,TOR,STL,Undecided,Matthew Liberatore,,41173
2025-06-11,SEA,ARI,Bryan Woo,Eduardo Rodriguez,4629089,32675
2025-06-11,ATH,LAA,JP Sears,Kyle Hendricks,39818,33173
2025-06-11,LAD,SD,Justin Wrobleski,Randy Vasquez,4417203,4722847
2025-06-11,DET,BAL,Casey Mize,Zach Eflin,41167,32804
2025-06-11,TB,BOS,Zack Littell,Walker Buehler,36052,39251
2025-06-11,WSH,NYM,Jake Irvin,David Peterson,41290,40921
2025-06-11,NYY,KC,Clarke Schmidt,Kris Bubic,41085,41201
2025-06-11,TEX,MIN,Jack Leiter,David Festa,4622181,5124114
2025-06-11,CHW,HOU,Sean Burke,Ryan Gusto,4867679,5131986
2025-06-11,SF,COL,Robbie Ray,Kyle Freeland,32175,33839
2025-06-12,WSH,NYM,Michael Soroka,Kodai Senga,34984,4142421
2025-06-12,TEX,MIN,Patrick Corbin,Bailey Ober,31313,3107919
2025-06-12,SF,COL,Hayden Birdsong,Antonio Senzatela,5197166,33750
2025-06-12,DET,BAL,Tarik Skubal,Dean Kremer,42409,38295
2025-06-12,NYY,KC,Will Warren,Seth Lugo,5132011,34873
2025-06-12,STL,MIL,Sonny Gray,Jacob Misiorowski,32082,
2025-06-12,PIT,CHC,Andrew Heaney,Jameson Taillon,32672,31258
2025-06-12,CHW,HOU,Davis Martin,Framber Valdez,42823,36581
