Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-10,,ATH,"W, 2-1 (10)",38,34,2,7,5,1,0,1,2,1,1,3,6,.206,.289,.324,.613,11,1,1,0,0,1,2025-06-10
2,ARI,2025-06-10,,SEA,"W, 10-3",39,33,10,13,6,2,2,3,10,2,0,4,9,.394,.436,.848,1.284,28,0,0,0,2,0,2025-06-10
3,ATL,2025-06-10,@,MIL,"L, 1-4",34,34,1,8,5,3,0,0,1,0,0,0,10,.235,.235,.324,.559,11,1,0,0,0,0,2025-06-10
4,BAL,2025-06-10,,DET,"L, 3-5",36,32,3,6,3,2,0,1,3,1,0,1,11,.188,.250,.344,.594,11,1,2,0,1,0,2025-06-10
5,BOS,2025-06-10,,TBR,"W, 3-1",33,31,3,7,4,2,0,1,3,1,0,2,13,.226,.273,.387,.660,12,0,0,0,0,0,2025-06-10
6,CHC,2025-06-10,@,PHI,"W, 8-4",44,39,8,13,8,1,0,4,8,2,0,5,7,.333,.409,.667,1.076,26,1,0,0,0,0,2025-06-10
7,CHW,2025-06-10,@,HOU,"W, 4-2",38,30,4,4,1,2,0,1,4,1,1,8,13,.133,.316,.300,.616,9,0,0,0,0,0,2025-06-10
8,CIN,2025-06-10,@,CLE,"W, 1-0",34,31,1,6,5,1,0,0,1,1,0,3,12,.194,.265,.226,.491,7,1,0,0,0,1,2025-06-10
9,CLE,2025-06-10,,CIN,"L, 0-1",31,30,0,3,2,1,0,0,0,1,0,1,5,.100,.129,.133,.262,4,1,0,0,0,0,2025-06-10
10,COL,2025-06-10,,SFG,"L, 5-6",40,33,5,8,3,1,2,2,5,1,1,7,10,.242,.375,.576,.951,19,1,0,0,0,0,2025-06-10
11,DET,2025-06-10,@,BAL,"W, 5-3",39,37,5,12,7,2,2,1,5,0,0,1,9,.324,.333,.568,.901,21,1,0,0,1,0,2025-06-10
12,MIA,2025-06-10,@,PIT,"W, 3-2",35,35,3,8,7,0,0,1,3,3,0,0,7,.229,.229,.314,.543,11,0,0,0,0,0,2025-06-10
13,HOU,2025-06-10,,CHW,"L, 2-4",36,31,2,9,8,1,0,0,2,1,0,3,6,.290,.333,.323,.656,10,3,0,0,2,0,2025-06-10
14,KCR,2025-06-10,,NYY,"L, 2-10",38,36,2,9,8,0,0,1,2,0,0,2,5,.250,.289,.333,.623,12,0,0,0,0,0,2025-06-10
15,LAD,2025-06-10,@,SDP,"L, 1-11",39,32,1,6,6,0,0,0,1,0,0,7,12,.188,.333,.188,.521,6,1,0,0,0,0,2025-06-10
16,MIL,2025-06-10,,ATL,"W, 4-1",35,29,4,6,3,1,0,2,4,1,0,5,12,.207,.343,.448,.791,13,1,1,0,0,0,2025-06-10
17,MIN,2025-06-10,,TEX,"L, 4-16",38,36,4,12,8,3,0,1,4,0,0,2,4,.333,.368,.500,.868,18,2,0,0,0,0,2025-06-10
18,NYM,2025-06-10,,WSN,"W, 5-4 (10)",35,34,5,8,5,2,0,1,5,1,0,1,9,.235,.257,.382,.639,13,0,0,0,0,0,2025-06-10
19,NYY,2025-06-10,@,KCR,"W, 10-2",46,43,10,16,10,4,0,2,10,1,0,3,9,.372,.413,.605,1.018,26,0,0,0,0,0,2025-06-10
20,ATH,2025-06-10,@,LAA,"L, 1-2 (10)",36,34,1,4,1,3,0,0,1,0,0,2,14,.118,.167,.206,.373,7,0,0,0,0,0,2025-06-10
21,PHI,2025-06-10,,CHC,"L, 4-8",38,36,4,10,8,1,0,1,4,2,0,1,10,.278,.316,.389,.705,14,1,1,0,0,0,2025-06-10
22,PIT,2025-06-10,,MIA,"L, 2-3",35,33,2,6,2,2,0,2,2,0,0,1,8,.182,.229,.424,.653,14,0,1,0,0,0,2025-06-10
23,SDP,2025-06-10,,LAD,"W, 11-1",46,39,11,16,11,3,1,1,10,1,0,5,6,.410,.500,.615,1.115,24,1,2,0,0,0,2025-06-10
24,SEA,2025-06-10,@,ARI,"L, 3-10",42,37,3,12,9,1,0,2,3,2,0,5,7,.324,.405,.514,.918,19,2,0,0,0,0,2025-06-10
25,SFG,2025-06-10,@,COL,"W, 6-5",42,32,6,7,4,0,1,2,6,1,0,6,10,.219,.357,.469,.826,15,0,2,0,2,0,2025-06-10
26,STL,2025-06-10,,TOR,"L, 9-10",41,38,9,12,9,0,0,3,9,0,0,2,4,.316,.366,.553,.918,21,1,1,0,0,0,2025-06-10
27,TBR,2025-06-10,@,BOS,"L, 1-3",32,29,1,3,3,0,0,0,1,2,0,3,7,.103,.188,.103,.291,3,1,0,0,0,0,2025-06-10
28,TEX,2025-06-10,@,MIN,"W, 16-4",51,45,16,17,11,4,0,2,16,2,0,4,4,.378,.431,.600,1.031,27,0,1,0,1,0,2025-06-10
29,TOR,2025-06-10,@,STL,"W, 10-9",42,41,10,16,13,1,0,2,9,0,0,0,5,.390,.381,.561,.942,23,1,0,0,1,0,2025-06-10
30,WSN,2025-06-10,@,NYM,"L, 4-5 (10)",40,35,4,8,3,3,0,2,4,0,0,4,11,.229,.325,.486,.811,17,1,1,0,0,0,2025-06-10
31,LAA,2025-06-09,,ATH,"W, 7-4",35,32,7,8,7,0,0,1,7,2,0,1,9,.250,.286,.344,.629,11,0,1,0,1,0,2025-06-09
32,ARI,2025-06-09,,SEA,"W, 8-4 (11)",49,37,8,10,7,1,0,2,8,0,0,10,10,.270,.426,.459,.885,17,2,0,2,0,2,2025-06-09
33,ATL,2025-06-09,@,MIL,"W, 7-1",44,36,7,11,7,1,0,3,7,0,0,6,7,.306,.419,.583,1.002,21,1,1,1,0,0,2025-06-09
34,BOS,2025-06-09,,TBR,"L, 8-10 (11)",53,43,8,10,6,4,0,0,6,2,0,8,12,.233,.377,.326,.703,14,1,2,0,0,1,2025-06-09
35,CHC,2025-06-09,@,PHI,"L, 3-4 (11)",42,39,3,5,2,1,0,2,3,0,0,3,9,.128,.190,.308,.498,12,0,0,0,0,0,2025-06-09
36,CIN,2025-06-09,@,CLE,"W, 7-4",46,41,7,16,12,2,0,2,7,1,0,3,7,.390,.422,.585,1.008,24,1,0,1,1,0,2025-06-09
37,CLE,2025-06-09,,CIN,"L, 4-7",38,30,4,7,6,0,0,1,4,2,0,7,7,.233,.395,.333,.728,10,2,1,0,0,0,2025-06-09
38,MIA,2025-06-09,@,PIT,"L, 3-10",39,34,3,7,4,2,0,1,3,0,1,4,9,.206,.282,.353,.635,12,0,0,0,1,0,2025-06-09
39,LAD,2025-06-09,@,SDP,"W, 8-7 (10)",47,42,8,12,7,4,0,1,8,0,0,3,8,.286,.319,.452,.772,19,0,0,0,2,1,2025-06-09
40,MIL,2025-06-09,,ATL,"L, 1-7",33,31,1,5,4,1,0,0,1,0,1,2,15,.161,.212,.194,.406,6,0,0,0,0,0,2025-06-09
41,ATH,2025-06-09,@,LAA,"L, 4-7",34,32,4,5,3,0,0,2,4,1,0,2,5,.156,.206,.344,.550,11,0,0,0,0,0,2025-06-09
42,PHI,2025-06-09,,CHC,"W, 4-3 (11)",44,38,4,16,15,1,0,0,4,0,0,3,2,.421,.476,.447,.924,17,3,1,2,0,1,2025-06-09
43,PIT,2025-06-09,,MIA,"W, 10-3",42,38,10,15,11,3,1,0,8,0,0,3,6,.395,.429,.526,.955,20,1,0,0,1,0,2025-06-09
44,SDP,2025-06-09,,LAD,"L, 7-8 (10)",42,35,7,7,4,2,1,0,6,2,0,5,6,.200,.293,.314,.607,11,0,0,1,1,0,2025-06-09
45,SEA,2025-06-09,@,ARI,"L, 4-8 (11)",45,42,4,12,10,1,0,1,4,0,0,3,12,.286,.333,.381,.714,16,1,0,0,0,0,2025-06-09
46,STL,2025-06-09,,TOR,"L, 4-5 (10)",39,36,4,7,5,1,0,1,4,0,0,3,7,.194,.256,.306,.562,11,1,0,0,0,0,2025-06-09
47,TBR,2025-06-09,@,BOS,"W, 10-8 (11)",52,41,10,12,10,2,0,0,8,3,0,7,8,.293,.392,.341,.734,14,0,1,1,2,2,2025-06-09
48,TOR,2025-06-09,@,STL,"W, 5-4 (10)",44,39,5,13,6,5,0,2,5,0,0,3,5,.333,.381,.615,.996,24,2,0,1,0,1,2025-06-09
49,LAA,2025-06-08,,SEA,"L, 2-3",30,29,2,2,1,0,0,1,2,0,0,1,18,.069,.100,.172,.272,5,0,0,0,0,0,2025-06-08
50,ARI,2025-06-08,@,CIN,"L, 2-4",33,29,2,5,4,0,0,1,2,0,0,3,8,.172,.250,.276,.526,8,2,0,1,0,0,2025-06-08
51,ATL,2025-06-08,@,SFG,"L, 3-4",36,33,3,6,4,2,0,0,3,0,0,2,8,.182,.250,.242,.492,8,0,1,0,0,0,2025-06-08
52,BAL,2025-06-08,@,ATH,"L, 1-5",36,34,1,8,7,1,0,0,0,2,0,2,9,.235,.278,.265,.542,9,0,0,0,0,0,2025-06-08
53,BOS,2025-06-08,@,NYY,"W, 11-7",44,38,11,12,5,2,0,5,11,0,1,5,9,.316,.409,.763,1.172,29,0,1,0,0,0,2025-06-08
54,CHC,2025-06-08,@,DET,"L, 0-4",33,30,0,4,3,1,0,0,0,0,0,3,12,.133,.212,.167,.379,5,0,0,0,0,0,2025-06-08
55,CHW,2025-06-08,,KCR,"L, 5-7",36,31,5,4,3,0,0,1,5,0,0,5,11,.129,.250,.226,.476,7,0,0,0,0,0,2025-06-08
56,CIN,2025-06-08,,ARI,"W, 4-2",31,28,4,6,3,0,0,3,4,0,1,3,6,.214,.290,.536,.826,15,1,0,0,0,0,2025-06-08
57,CLE,2025-06-08,,HOU,"W, 4-2",35,32,4,9,6,2,0,1,3,3,0,1,7,.281,.294,.438,.732,14,0,0,1,1,1,2025-06-08
58,COL,2025-06-08,,NYM,"L, 5-13",41,36,5,10,4,5,1,0,5,0,0,4,8,.278,.366,.472,.838,17,1,1,0,0,0,2025-06-08
59,DET,2025-06-08,,CHC,"W, 4-0",36,34,4,10,7,3,0,0,4,0,0,2,8,.294,.333,.382,.716,13,0,0,0,0,0,2025-06-08
