Rk,Player,Date,Age,Team,Unnamed: 5,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Pos
1,Dan Altavilla,2025-06-19 (2),32-284,CHW,,STL,"L, 6-8 (10)","10-GF(10), L",1.0,2,2,1,1,1,0,0,1,0,0,0,4,2,P
2,David Bednar,2025-06-19 (2),30-252,PIT,@,DET,"W, 8-4 (10)","9-GF(10), W",1.2,0,0,0,0,0,1,0,2,0,0,0,6,1,P
3,Caleb Ferguson,2025-06-19 (2),28-352,PIT,@,DET,"W, 8-4 (10)",7-8,1.1,0,0,0,0,0,0,0,1,0,0,0,4,0,P
4,Matt Gage,2025-06-19 (2),32-128,DET,,PIT,"L, 4-8 (10)",7-7,0.2,0,0,0,0,0,1,0,1,0,0,0,3,1,P
5,Tyler Gilbert,2025-06-19 (2),31-179,CHW,,STL,"L, 6-8 (10)",4-5,1.1,1,0,0,0,0,0,0,1,0,0,0,5,1,P
6,Andre Granillo,2025-06-19 (2),25-038,STL,@,CHW,"W, 8-6 (10)","10-GF(10), S",1.0,0,0,0,0,0,1,0,1,0,0,0,4,1,P
7,Tyler Holton,2025-06-19 (2),29-006,DET,,PIT,"L, 4-8 (10)",GS-2,1.1,4,3,3,0,2,0,0,1,0,0,0,7,4,P
8,Brant Hurter,2025-06-19 (2),26-286,DET,,PIT,"L, 4-8 (10)","10-GF(10), L",1.0,4,4,3,1,0,1,1,2,0,0,0,8,5,P
9,Tommy Kahnle,2025-06-19 (2),35-316,DET,,PIT,"L, 4-8 (10)",8-8,1.0,0,0,0,0,0,0,0,2,0,0,0,3,0,P
10,John King,2025-06-19 (2),30-278,STL,@,CHW,"W, 8-6 (10)",7-7,0.1,2,2,2,0,0,0,0,1,0,0,0,3,2,P
11,Kyle Leahy,2025-06-19 (2),28-015,STL,@,CHW,"W, 8-6 (10)",7-8,1.2,3,3,3,0,1,2,1,1,0,0,1,10,5,P
12,Jordan Leasure,2025-06-19 (2),26-308,CHW,,STL,"L, 6-8 (10)",8-9,1.2,0,0,0,0,0,0,0,2,0,0,0,4,0,P
13,Isaac Mattson,2025-06-19 (2),29-340,PIT,@,DET,"W, 8-4 (10)","7-7,BS",0.2,2,2,2,0,1,0,0,0,0,0,0,4,2,P
14,Michael McGreevy,2025-06-19 (2),24-346,STL,@,CHW,"W, 8-6 (10)",GS-5,5.0,3,1,1,0,1,1,0,5,0,0,0,19,4,P
15,Keider Montero,2025-06-19 (2),24-348,DET,,PIT,"L, 4-8 (10)",2-7,5.0,3,1,1,0,1,2,0,5,0,0,0,20,5,P
16,Riley O'Brien,2025-06-19 (2),30-133,STL,@,CHW,"W, 8-6 (10)",6-6,1.0,0,0,0,0,0,0,0,1,0,0,0,3,0,P
17,JoJo Romero,2025-06-19 (2),28-283,STL,@,CHW,"W, 8-6 (10)","9-9, W",1.0,0,0,0,0,0,1,0,0,0,0,0,4,1,P
