Rk,Team,Date,Unnamed: 3,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR
1,CHW,2025-06-19 (2),,STL,"L, 6-8 (10)",10.0,12,8,7,1,3,2,0,11,1,0,0,42,15
2,DET,2025-06-19 (2),,PIT,"L, 4-8 (10)",10.0,12,8,7,1,3,5,1,14,0,0,0,46,17
3,PIT,2025-06-19 (2),@,DET,"W, 8-4 (10)",10.0,5,4,4,0,1,6,0,12,0,0,1,40,11
4,STL,2025-06-19 (2),@,CHW,"W, 8-6 (10)",10.0,8,6,6,0,2,5,1,9,0,0,1,43,13
5,CHW,2025-06-19 (1),,STL,"L, 4-5",9.0,8,5,3,2,1,6,1,11,0,0,1,42,15
6,DET,2025-06-19 (1),,PIT,"W, 9-2",9.0,6,2,2,0,0,4,0,9,0,0,0,37,10
7,PIT,2025-06-19 (1),@,DET,"L, 2-9",8.0,12,9,9,0,1,3,0,4,1,0,0,40,16
8,STL,2025-06-19 (1),@,CHW,"W, 5-4",9.0,9,4,3,1,1,3,0,10,0,0,2,40,13
9,LAA,2025-06-19,@,NYY,"L, 3-7",8.0,12,7,7,0,2,3,0,6,0,0,0,35,15
10,ARI,2025-06-19,@,TOR,"W, 9-5",9.0,6,5,4,1,3,2,0,7,2,0,0,35,10
11,ATL,2025-06-19,,NYM,"W, 7-1",9.0,6,1,1,0,0,1,0,13,0,0,0,34,7
12,BAL,2025-06-19,@,TBR,"W, 4-1",9.0,8,1,1,0,0,3,0,13,1,0,1,36,12
13,CHC,2025-06-19,,MIL,"L, 7-8",9.0,12,8,8,0,3,4,1,7,0,0,0,41,16
14,CIN,2025-06-19,,MIN,"L, 5-12",9.0,17,12,12,0,4,8,0,10,1,0,0,53,26
15,CLE,2025-06-19,@,SFG,"L, 1-2",8.0,5,2,2,0,0,4,0,7,1,0,0,32,11
16,COL,2025-06-19,@,WSN,"L, 3-4 (11)",10.2,8,4,3,1,2,0,0,5,0,0,0,38,9
17,MIA,2025-06-19,,PHI,"L, 1-2",9.0,6,2,2,0,1,3,0,6,1,0,1,34,10
18,HOU,2025-06-19,@,ATH,"L, 4-6 (10)",9.1,11,6,4,2,4,3,0,11,0,0,1,42,15
19,KCR,2025-06-19,@,TEX,"W, 4-1",9.0,3,1,1,0,0,2,0,7,0,0,0,33,6
20,LAD,2025-06-19,,SDP,"L, 3-5",9.0,11,5,5,0,1,1,0,6,2,0,0,39,14
21,MIL,2025-06-19,@,CHC,"W, 8-7",9.0,6,7,7,0,3,5,0,9,2,0,1,39,13
22,MIN,2025-06-19,@,CIN,"W, 12-5",9.0,10,5,5,0,1,1,0,10,0,0,2,38,11
23,NYM,2025-06-19,@,ATL,"L, 1-7",8.0,8,7,7,0,0,9,0,6,0,0,0,41,17
24,NYY,2025-06-19,,LAA,"W, 7-3",9.0,5,3,3,0,3,1,0,10,2,0,0,35,8
25,ATH,2025-06-19,,HOU,"W, 6-4 (10)",10.0,8,4,4,0,1,5,0,10,2,0,0,43,15
26,PHI,2025-06-19,@,MIA,"W, 2-1",9.0,6,1,1,0,0,0,0,4,0,0,0,33,7
27,SDP,2025-06-19,@,LAD,"W, 5-3",9.0,6,3,3,0,0,5,0,7,1,0,2,39,12
28,SFG,2025-06-19,,CLE,"W, 2-1",9.0,7,1,1,0,0,0,0,12,0,0,0,34,7
29,TBR,2025-06-19,,BAL,"L, 1-4",9.0,6,4,4,0,1,6,0,9,1,0,0,38,13
30,TEX,2025-06-19,,KCR,"L, 1-4",9.0,6,4,4,0,3,4,1,2,0,0,0,36,10
31,TOR,2025-06-19,,ARI,"L, 5-9",9.0,9,9,9,0,2,5,0,8,1,0,0,41,15
32,WSN,2025-06-19,,COL,"W, 4-3 (11)",11.0,11,3,2,1,0,2,0,13,0,0,0,44,13
33,LAA,2025-06-18,@,NYY,"W, 3-2",9.0,3,2,2,0,2,4,0,10,1,0,0,34,9
34,ARI,2025-06-18,@,TOR,"L, 1-8",8.0,13,8,7,1,1,6,1,5,1,0,0,43,20
35,ATL,2025-06-18,,NYM,"W, 5-0",9.0,5,0,0,0,0,1,0,7,0,0,0,33,6
36,BAL,2025-06-18,@,TBR,"L, 8-12",8.0,18,12,12,0,1,5,0,7,0,0,1,45,23
37,BOS,2025-06-18,@,SEA,"W, 3-1",9.0,6,1,1,0,0,1,0,10,0,0,2,33,7
38,CIN,2025-06-18,,MIN,"W, 4-2 (6)",6.0,3,2,2,0,1,2,0,4,1,0,0,24,6
39,CLE,2025-06-18,@,SFG,"W, 4-2",9.0,6,2,2,0,1,3,0,7,1,1,0,36,10
40,COL,2025-06-18,@,WSN,"W, 3-1",9.0,7,1,1,0,0,3,0,4,0,0,0,36,10
41,MIA,2025-06-18,,PHI,"L, 2-4",9.0,9,4,4,0,1,6,0,9,0,0,1,42,16
42,HOU,2025-06-18,@,ATH,"W, 11-4",9.0,8,4,4,0,1,6,0,7,0,0,1,39,14
43,KCR,2025-06-18,@,TEX,"W, 6-3",9.0,12,3,3,0,0,1,0,9,1,0,0,39,14
44,LAD,2025-06-18,,SDP,"W, 4-3",9.0,7,3,2,1,0,0,0,9,0,0,0,35,7
45,MIN,2025-06-18,@,CIN,"L, 2-4 (6)",5.2,9,4,4,0,1,0,0,5,0,0,0,25,9
46,NYM,2025-06-18,@,ATL,"L, 0-5",8.0,7,5,4,1,2,4,0,5,0,0,2,35,11
47,NYY,2025-06-18,,LAA,"L, 2-3",9.0,8,3,3,0,2,5,0,7,0,0,1,39,13
48,ATH,2025-06-18,,HOU,"L, 4-11",9.0,20,11,11,0,3,3,0,8,0,0,0,48,23
49,PHI,2025-06-18,@,MIA,"W, 4-2",9.0,7,2,2,0,1,3,0,12,0,0,0,36,10
50,SDP,2025-06-18,@,LAD,"L, 3-4",8.1,7,4,4,0,1,4,0,6,1,0,0,35,12
51,SEA,2025-06-18,,BOS,"L, 1-3",9.0,3,3,3,0,2,2,0,7,1,0,0,33,6
52,SFG,2025-06-18,,CLE,"L, 2-4",9.0,7,4,3,1,1,3,0,10,0,0,0,36,11
53,TBR,2025-06-18,,BAL,"W, 12-8",9.0,7,8,7,1,3,1,0,7,1,0,0,37,10
54,TEX,2025-06-18,,KCR,"L, 3-6",9.0,7,6,6,0,1,4,1,6,0,0,0,38,11
55,TOR,2025-06-18,,ARI,"W, 8-1",9.0,6,1,1,0,0,1,0,12,1,0,0,35,8
56,WSN,2025-06-18,,COL,"L, 1-3",9.0,8,3,3,0,2,0,0,9,0,0,0,34,8
57,LAA,2025-06-17,@,NYY,"W, 4-0",9.0,4,0,0,0,0,2,0,12,0,0,0,33,6
58,ARI,2025-06-17,@,TOR,"L, 4-5",8.1,9,5,5,0,3,1,0,8,3,0,0,38,13
59,ATL,2025-06-17,,NYM,"W, 5-4 (10)",10.0,7,4,4,0,2,2,0,11,0,0,0,35,9
60,BAL,2025-06-17,@,TBR,"W, 5-1",9.0,7,1,1,0,0,3,0,7,0,0,0,35,10
61,BOS,2025-06-17,@,SEA,"L, 0-8",8.0,9,8,8,0,1,6,0,6,0,0,0,38,15
62,CHC,2025-06-17,,MIL,"W, 5-3",9.0,9,3,3,0,1,3,0,10,1,0,0,39,13
63,CHW,2025-06-17,,STL,"L, 2-12",9.0,13,12,11,1,2,5,0,5,2,0,0,47,20
64,CIN,2025-06-17,,MIN,"W, 6-5",9.0,8,5,1,4,2,2,0,11,1,0,0,38,12
65,CLE,2025-06-17,@,SFG,"W, 3-2",9.0,10,2,2,0,0,5,0,10,1,0,0,42,16
66,COL,2025-06-17,@,WSN,"W, 10-6",9.0,12,6,5,1,2,4,0,4,0,0,2,43,17
67,DET,2025-06-17,,PIT,"W, 7-3",9.0,5,3,2,1,0,0,0,6,0,0,0,32,5
68,MIA,2025-06-17,,PHI,"W, 8-3",9.0,8,3,3,0,1,0,0,6,1,0,0,35,9
69,HOU,2025-06-17,@,ATH,"W, 13-3",9.0,4,3,2,1,0,3,0,5,1,0,0,34,9
70,KCR,2025-06-17,@,TEX,"W, 6-1",9.0,5,1,1,0,0,1,0,14,2,0,0,35,8
71,LAD,2025-06-17,,SDP,"W, 8-6",9.0,9,6,6,0,1,6,1,9,2,1,1,41,17
72,MIL,2025-06-17,@,CHC,"L, 3-5",8.0,8,5,5,0,2,2,0,8,1,0,0,34,11
73,MIN,2025-06-17,@,CIN,"L, 5-6",8.0,5,6,4,2,0,8,0,8,1,0,0,39,14
74,NYM,2025-06-17,@,ATL,"L, 4-5 (10)",9.2,7,5,4,1,0,5,1,5,0,0,1,40,13
75,NYY,2025-06-17,,LAA,"L, 0-4",9.0,8,4,3,1,0,1,1,13,1,0,0,38,10
