Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-14,@,BAL,"L, 5-6",41,34,5,8,4,1,0,3,5,0,1,5,10,.235,.366,.529,.895,18,0,2,0,0,0,2025-06-14
2,ARI,2025-06-14,,SDP,"W, 8-7",40,35,8,9,7,0,1,1,8,1,0,5,12,.257,.350,.400,.750,14,0,0,0,0,0,2025-06-14
3,ATL,2025-06-14,,COL,"W, 4-1",33,30,4,7,6,0,0,1,4,0,0,3,6,.233,.303,.333,.636,10,2,0,0,0,0,2025-06-14
4,BAL,2025-06-14,,LAA,"W, 6-5",37,34,6,11,7,2,0,2,6,1,0,2,6,.324,.378,.559,.937,19,1,1,0,0,0,2025-06-14
5,BOS,2025-06-14,,NYY,"W, 4-3",33,27,4,7,2,5,0,0,3,0,0,3,5,.259,.344,.444,.788,12,2,1,1,1,0,2025-06-14
6,CHC,2025-06-14,,PIT,"W, 2-1",30,29,2,6,5,0,0,1,2,2,0,0,10,.207,.200,.310,.510,9,0,0,0,1,0,2025-06-14
7,CHW,2025-06-14,@,TEX,"L, 4-5 (11)",43,40,4,9,7,2,0,0,4,0,0,2,15,.225,.256,.275,.531,11,1,0,0,1,1,2025-06-14
8,CIN,2025-06-14,@,DET,"W, 11-1",44,37,11,12,6,2,0,4,11,0,0,6,7,.324,.409,.703,1.112,26,1,0,0,1,0,2025-06-14
9,CLE,2025-06-14,@,SEA,"L, 3-4",37,34,3,8,5,2,0,1,2,2,0,3,9,.235,.297,.382,.680,13,1,0,0,0,0,2025-06-14
10,COL,2025-06-14,@,ATL,"L, 1-4",33,32,1,4,3,1,0,0,1,0,0,1,19,.125,.152,.156,.308,5,0,0,0,0,0,2025-06-14
11,DET,2025-06-14,,CIN,"L, 1-11",35,30,1,4,2,2,0,0,1,1,0,3,4,.133,.235,.200,.435,6,0,1,0,0,0,2025-06-14
12,MIA,2025-06-14,@,WSN,"W, 4-3",40,39,4,11,9,1,0,1,3,0,0,1,7,.282,.300,.385,.685,15,0,0,0,0,0,2025-06-14
13,HOU,2025-06-14,,MIN,"W, 3-2",34,30,3,4,3,0,0,1,3,1,0,4,10,.133,.235,.233,.469,7,0,0,0,0,0,2025-06-14
14,KCR,2025-06-14,,ATH,"L, 0-4",33,31,0,4,3,1,0,0,0,0,0,1,12,.129,.182,.161,.343,5,0,1,0,0,0,2025-06-14
15,LAD,2025-06-14,,SFG,"W, 11-5",44,33,11,11,4,3,0,4,11,0,0,10,1,.333,.477,.788,1.265,26,1,0,0,1,1,2025-06-14
16,MIL,2025-06-14,,STL,"L, 5-8",43,35,5,9,5,2,1,1,4,1,0,5,14,.257,.381,.457,.838,16,0,2,1,0,0,2025-06-14
17,MIN,2025-06-14,@,HOU,"L, 2-3",33,30,2,3,2,0,0,1,2,2,0,2,17,.100,.182,.200,.382,6,0,1,0,0,0,2025-06-14
18,NYM,2025-06-14,,TBR,"L, 4-8",37,36,4,11,8,1,0,2,4,0,0,1,5,.306,.324,.500,.824,18,2,0,0,0,0,2025-06-14
19,NYY,2025-06-14,@,BOS,"L, 3-4",35,32,3,6,4,2,0,0,3,0,1,3,8,.188,.257,.250,.507,8,1,0,0,0,0,2025-06-14
20,ATH,2025-06-14,@,KCR,"W, 4-0",36,33,4,6,3,1,0,2,4,2,0,3,4,.182,.250,.394,.644,13,0,0,0,0,0,2025-06-14
21,PHI,2025-06-14,,TOR,"W, 3-2",34,27,3,4,3,0,0,1,3,0,0,5,6,.148,.324,.259,.583,7,0,2,0,0,0,2025-06-14
22,PIT,2025-06-14,@,CHC,"L, 1-2",32,30,1,5,4,0,0,1,1,0,1,2,6,.167,.219,.267,.485,8,1,0,0,0,0,2025-06-14
23,SDP,2025-06-14,@,ARI,"L, 7-8",42,35,7,11,8,2,0,1,7,0,1,6,8,.314,.405,.457,.862,16,2,0,0,1,1,2025-06-14
