Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-15,@,BAL,"L, 2-11",33,31,2,5,3,1,0,1,1,0,0,2,8,.161,.212,.290,.502,9,1,0,0,0,0,2025-06-15
2,ARI,2025-06-15,,SDP,"L, 2-8",31,30,2,3,2,0,0,1,2,0,0,1,14,.100,.129,.200,.329,6,0,0,0,0,0,2025-06-15
3,ATL,2025-06-15,,COL,"L, 1-10",33,31,1,6,6,0,0,0,1,0,0,2,8,.194,.242,.194,.436,6,1,0,0,0,0,2025-06-15
4,BAL,2025-06-15,,LAA,"W, 11-2",38,35,11,12,6,3,0,3,10,0,1,3,14,.343,.395,.686,1.080,24,1,0,0,0,1,2025-06-15
5,BOS,2025-06-15,,NYY,"W, 2-0",31,28,2,6,4,0,1,1,2,0,0,3,11,.214,.290,.393,.683,11,3,0,0,0,0,2025-06-15
6,CHC,2025-06-15,,PIT,"W, 3-2 (10)",37,34,3,6,4,2,0,0,3,3,0,3,4,.176,.243,.235,.479,8,0,0,0,0,1,2025-06-15
7,CHW,2025-06-15,@,TEX,"L, 1-2",36,34,1,8,6,1,0,1,1,2,1,2,12,.235,.278,.353,.631,12,0,0,0,0,0,2025-06-15
8,CIN,2025-06-15,@,DET,"W, 8-4",40,36,8,11,9,1,0,1,7,0,1,2,5,.306,.325,.417,.742,15,2,0,0,2,0,2025-06-15
9,CLE,2025-06-15,@,SEA,"L, 0-6",30,29,0,4,4,0,0,0,0,0,0,1,6,.138,.167,.138,.305,4,2,0,0,0,0,2025-06-15
10,COL,2025-06-15,@,ATL,"W, 10-1",42,34,10,9,6,1,1,1,9,0,0,5,16,.265,.381,.441,.822,15,1,2,0,1,0,2025-06-15
11,DET,2025-06-15,,CIN,"L, 4-8",39,36,4,9,3,4,0,2,4,0,0,3,9,.250,.308,.528,.835,19,0,0,0,0,0,2025-06-15
12,MIA,2025-06-15,@,WSN,"W, 3-1",40,35,3,11,9,1,0,1,3,1,0,3,7,.314,.350,.429,.779,15,1,0,0,2,0,2025-06-15
13,HOU,2025-06-15,,MIN,"W, 2-1 (10)",35,30,2,4,4,0,0,0,2,1,0,2,8,.133,.206,.133,.339,4,1,1,1,1,0,2025-06-15
14,KCR,2025-06-15,,ATH,"L, 2-3",35,33,2,9,7,2,0,0,2,1,1,0,7,.273,.294,.333,.627,11,0,1,1,0,0,2025-06-15
15,LAD,2025-06-15,,SFG,"W, 5-4",33,30,5,8,6,0,0,2,5,0,0,2,9,.267,.303,.467,.770,14,1,0,0,1,0,2025-06-15
16,MIL,2025-06-15,,STL,"W, 3-2",33,31,3,9,6,2,0,1,3,1,0,1,10,.290,.303,.452,.755,14,1,0,0,1,0,2025-06-15
17,MIN,2025-06-15,@,HOU,"L, 1-2 (10)",38,37,1,8,6,1,0,1,1,0,0,0,12,.216,.237,.324,.561,12,1,1,0,0,0,2025-06-15
18,NYM,2025-06-15,,TBR,"L, 0-9",39,31,0,5,5,0,0,0,0,1,0,7,8,.161,.333,.161,.495,5,1,1,0,0,0,2025-06-15
19,NYY,2025-06-15,@,BOS,"L, 0-2",33,30,0,5,4,1,0,0,0,0,1,3,11,.167,.242,.200,.442,6,2,0,0,0,0,2025-06-15
20,ATH,2025-06-15,@,KCR,"W, 3-2",37,34,3,9,4,3,0,2,3,0,1,3,10,.265,.324,.529,.854,18,1,0,0,0,0,2025-06-15
21,PHI,2025-06-15,,TOR,"W, 11-4",44,39,11,18,14,2,0,2,11,1,1,5,6,.462,.523,.667,1.189,26,2,0,0,0,1,2025-06-15
22,PIT,2025-06-15,@,CHC,"L, 2-3 (10)",36,33,2,4,4,0,0,0,2,0,0,3,6,.121,.194,.121,.316,4,1,0,0,0,0,2025-06-15
23,SDP,2025-06-15,@,ARI,"W, 8-2",41,40,8,13,6,5,0,2,8,1,0,1,9,.325,.341,.600,.941,24,0,0,0,0,0,2025-06-15
24,SEA,2025-06-15,,CLE,"W, 6-0",36,29,6,5,3,1,0,1,6,2,0,5,6,.172,.333,.310,.644,9,0,2,0,0,0,2025-06-15
25,SFG,2025-06-15,@,LAD,"L, 4-5",40,34,4,7,4,1,1,1,4,0,0,4,8,.206,.325,.382,.707,13,0,2,0,0,1,2025-06-15
